baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TSPAN6	2672.90794862279	-0.0649005327381924	0.18286759151876	-0.354904508771498	0.722661130571375	0.792670319612756
TNMD	6.10686224950918	-0.884838513442116	0.422050188097073	-2.09652439069308	0.0360356985802552	0.0597674801928364
DPM1	2858.60354851849	0.430508165126122	0.101141032063547	4.25651346780438	2.07639534247503e-05	6.84249168876724e-05
SCYL3	961.44650346727	0.0077858615335591	0.0792563356390971	0.0982364560609125	0.921744534701494	0.9422630472505
C1orf112	553.893698124009	1.38101336637969	0.11627045936048	11.8775944807963	1.54756944725553e-32	2.32723929413342e-30
FGR	652.965778262952	0.189505809723648	0.167509946271062	1.13131079044699	0.257924304272211	0.334043886064338
CFH	4577.61540587777	-0.0375034661205595	0.205316739809202	-0.182661511942041	0.855063616624036	0.897778959061346
FUCA2	3853.17483881991	0.525888120512721	0.106631929578051	4.93180722316186	8.14723020944156e-07	3.43622267217885e-06
GCLC	2972.93452927917	-0.122544686114872	0.10583044847404	-1.15793410952928	0.246890926525941	0.321901871109717
NFYA	2116.03358967878	0.617283240891224	0.105819029063846	5.83338598314663	5.43137260044731e-09	3.22350001417321e-08
STPG1	569.695392532301	-0.490162042959503	0.0962404100969406	-5.09310010696936	3.52255580989447e-07	1.57464217635517e-06
NIPAL3	2592.87552608761	-0.449594164696075	0.0999232710202891	-4.49939398605943	6.81474542750539e-06	2.45275701767993e-05
LAS1L	2293.00884169056	0.30468766570311	0.0815149064396436	3.73781531514989	0.00018562621679149	0.000508709218861072
ENPP4	1825.37259120842	-0.000607000581304802	0.152507726562167	-0.00398013002349338	0.996824324088813	0.997338078835801
SEMA3F	3665.49693732108	-0.794282819595039	0.165082704016992	-4.81142360930365	1.49859012440611e-06	6.04703203260922e-06
CFTR	3498.78990302815	0.870161655445407	0.322918696272539	2.69467722212963	0.00704568471456184	0.0138871655339444
ANKIB1	5149.95117496807	0.820114607068392	0.153749110343652	5.3341096103601	9.60145146456308e-08	4.67250215529353e-07
CYP51A1	322.279603723538	-0.05348448891832	0.214488779005866	-0.249357981178387	0.803083884864588	0.856361388559242
KRIT1	488.198761281955	0.562469593292697	0.140205292436555	4.01175721342491	6.02684646071279e-05	0.000181478968631329
RAD52	584.472002842367	0.183991839956587	0.107478093620744	1.71190085121751	0.0869149417991914	0.130249368745578
BAD	790.324908299139	-0.947917239736946	0.122888562501317	-7.71363274533205	1.22286036667515e-14	1.6696266157277e-13
LAP3	7712.25828382257	0.342310386797968	0.133934454932097	2.55580527782426	0.0105942385615278	0.0200079039747824
CD99	9702.30226676554	-0.608039812253664	0.127254687168384	-4.77813293783906	1.76930394855311e-06	7.0370118303973e-06
HS3ST1	2060.29708506991	-0.0189430433968858	0.211153831206317	-0.089712051581847	0.928516038784484	0.946647481126946
AOC1	10733.2841096788	-0.967621469608951	0.278606586132295	-3.47307464278493	0.000514532235249446	0.00129904485120793
WNT16	37.5213857615977	0.300186911912818	0.320907893551664	0.93543012791142	0.349566676441684	0.432257039129985
HECW1	87.2918586349396	0.873706590958089	0.212405637135289	4.11338702089905	3.89895901639058e-05	0.000121740562708005
MAD1L1	50.8455715617199	0.488356823597084	0.190562709808539	2.56270927343416	0.0103858975189154	0.0196579024657791
LASP1	21723.2413552497	0.0118129329554752	0.123842198661306	0.0953869770011284	0.924007459758657	0.943721457644089
SNX11	1242.57172744463	-0.293550081768138	0.062945992249711	-4.66352298655655	3.10841446022907e-06	1.19104759346369e-05
TMEM176A	9818.66188332116	0.584533360352246	0.215757706739755	2.70921196366489	0.006744323725606	0.0133610064789489
M6PR	3263.49359566901	0.203515451197622	0.107140483741299	1.89951962219089	0.057496189170235	0.0904304060942181
KLHL13	425.672264614027	-0.939919512925879	0.272696687141977	-3.44675809147809	0.000567356355908527	0.00141882276895078
CYP26B1	349.377919185352	0.254053876912607	0.255198085501467	0.995516390389013	0.319485176656892	0.400321937702809
ICA1	2399.24595970176	0.607665540400917	0.142978252028459	4.25005573770735	2.13717327250751e-05	7.01678936979173e-05
DBNDD1	1932.00944718611	0.395314817065117	0.215376175968925	1.83546214100372	0.0664372436579769	0.102744850888792
ALS2	1816.02687714571	0.359064571702872	0.0799925637026159	4.48872438990389	7.16509256436065e-06	2.57018959548727e-05
CASP10	2884.7235234716	-0.0916129335126326	0.149945219613821	-0.61097602009973	0.541215455727333	0.625317327215749
CFLAR	7558.8414816044	-0.141331700598294	0.0927509258734716	-1.52377670915215	0.127564499591811	0.181806869404227
TFPI	3274.23856291274	0.248624338568217	0.19950170359461	1.24622664412643	0.21268119991248	0.283601495124959
NDUFAF7	726.896683129449	0.255548973449584	0.0679165955176546	3.76268821341546	0.000168096714607533	0.00046406428490359
RBM5	3145.39287453525	-0.0651702702976156	0.0884521768266913	-0.736785375280327	0.461252878211562	0.546835107779796
MTMR7	110.5225305223	-0.0875071711572996	0.169951660364303	-0.514894476286505	0.606626761009015	0.686263395559786
SLC7A2	1771.50394336052	0.203574392468708	0.310744117101175	0.655119055407333	0.512391104324289	0.59708592860796
ARF5	4295.55480325203	-0.489715256618333	0.100288857951819	-4.88304749520236	1.04458697287183e-06	4.33128353761263e-06
