"","lacgene","corgene","cor","pvalue"
"1","GSK3B","TPX2",0.515138249908034,9.91090806130149e-32
"2","GSK3B","CLSPN",0.522599259658946,9.20106288870427e-33
"3","GSK3B","ECT2",0.612063192428177,2.13073492735674e-47
"4","GSK3B","CENPF",0.600400176695919,3.17906954738302e-45
"5","GSK3B","KIF14",0.605255516512778,4.05754230159751e-46
"6","GSK3B","KIF18A",0.514184384014622,1.33738237739816e-31
"7","GSK3B","STIL",0.543090590973021,9.84622088350149e-36
"8","GSK3B","KIF23",0.536633111815353,8.94154992496557e-35
"9","GSK3B","EXO1",0.544476614034351,6.09394038715226e-36
"10","GSK3B","IQGAP3",0.50816497214658,8.67191463815792e-31
"11","GSK3B","KIF18B",0.558543071576644,4.11389970712462e-38
"12","GSK3B","XRCC2",0.501847222656476,5.92949172831342e-30
"13","P2RX7","TREM2",0.579373492463756,1.59677357180594e-41
"14","P2RX7","CXCL9",0.564507720834769,4.59391268305784e-39
"15","P2RX7","PLA2G7",0.63014308881634,5.94279963299101e-51
"16","P2RX7","FCGR1A",0.632429890965953,2.03019713934398e-51
"17","P2RX7","DCSTAMP",0.515920523490465,7.74596416270824e-32
"18","P2RX7","HTRA4",0.504920943390605,2.33881065671749e-30
"19","P2RX7","OLR1",0.513006692122005,1.93361425205942e-31
"20","P2RX7","CCR8",0.656009431046528,1.81856316040579e-56
"21","P2RX7","FCGR3A",0.675189197315127,6.40161400384083e-61
"22","GSDMD","RECQL4",0.61192546977979,2.26322539938609e-47
"23","GSDMD","IQGAP3",0.545505935408529,4.26112115672303e-36
"24","FCER2","CD79A",0.570153512579255,5.53379754609785e-40
"25","FCER2","PNOC",0.705774652632664,9.15334901665929e-69
"26","RPE65","OR2B6",0.558349013072133,4.41475450283668e-38
"27","CD36","CREB3L3",0.551589390422951,5.01385523341011e-37
"28","CD36","SLC46A1",0.500631303652094,8.54505502616173e-30
"29","CD36","APOB",0.60904644504877,7.93332968017139e-47
"30","CD36","SLC15A1",0.527034075616913,2.17785410735117e-33
"31","CD36","SI",0.566763652511005,1.98166167345154e-39
"32","CD36","SLC5A4",0.594906005011418,3.131115626837e-44
"33","CD36","PCK2",0.531398221171545,5.16548680469803e-34
"34","CD36","ASPA",0.518581716700144,3.33320342282379e-32
"35","CD36","APOA4",0.561219090567829,1.5470164351605e-38
"36","CD36","APOC3",0.531648676194606,4.75303782004814e-34
"37","CD36","GHR",0.542235458560908,1.32234759030267e-35
"38","CD36","RBP2",0.525797736778664,3.26152392443646e-33
"39","CD36","TREH",0.597508957249706,1.06524461315097e-44
"40","CD36","APOA1",0.504328268048651,2.80038736246389e-30
"41","CD36","ABCG2",0.54854114683468,1.47306523665934e-36
"42","CD36","XPNPEP2",0.567606188103737,1.44521273511952e-39
"43","CD36","ACE2",0.543841058367679,7.59567625627523e-36
"44","CD36","G6PC",0.552968533534835,3.06776588088646e-37
"45","CD36","ALDOB",0.57231609987459,2.43344439950421e-40
"46","CD36","KHK",0.543272718057493,9.24579592386256e-36
"47","CD36","ABCG5",0.539767580420975,3.08259233048181e-35
"48","CD36","MTTP",0.586772046529757,8.54627368077541e-43
"49","CD36","MEP1B",0.599890290815961,3.93823874422737e-45
"50","CD36","SLC2A5",0.577808096680439,2.93847710655845e-41
"51","CD36","BEST4",0.527488550118207,1.87660873010748e-33
"52","CD36","AQP10",0.57691805878946,4.15039286137906e-41
"53","CD36","ABCG8",0.541019865908878,2.00806686262315e-35
"54","CD36","FABP2",0.59160740124619,1.21058062717358e-43
"55","CD36","ENPP3",0.545503747919781,4.26436775072905e-36
"56","CD36","TMPRSS15",0.527392462757368,1.93665201250105e-33
"57","CD36","SLC28A1",0.58583201142247,1.24490814823788e-42
"58","CD36","CBR1",0.51035867384537,4.40669458200809e-31
"59","CD36","ACE",0.542235648384886,1.32226115124548e-35
"60","CD36","CYP3A4",0.578970591230579,1.86876387354341e-41
