"","lacgene","corgene","cor","pvalue"
"1","CFTR","SLC5A1",0.553622977965044,2.4279152558548e-37
"2","GSK3B","MCM10",0.531352096706681,5.24521872377944e-34
"3","GSK3B","TRIP13",0.519277159928404,2.67070804091015e-32
"4","GSK3B","TPX2",0.558968534151145,3.52353348108535e-38
"5","GSK3B","CLSPN",0.562821787873557,8.57528338332721e-39
"6","GSK3B","CDC6",0.511989826108541,2.65532478661425e-31
"7","GSK3B","ECT2",0.661350506372159,1.1286729928956e-57
"8","GSK3B","OTX1",0.501860096954871,5.9065481862554e-30
"9","GSK3B","CENPF",0.638151399778774,1.327865156273e-52
"10","GSK3B","KIF14",0.63950806220101,6.89644839166867e-53
"11","GSK3B","KIF18A",0.573417036651746,1.5979452241079e-40
"12","GSK3B","STIL",0.646407968605019,2.33930163742927e-54
"13","GSK3B","STRIP2",0.514204831809022,1.32883200456783e-31
"14","GSK3B","TOP2A",0.589061928834835,3.40093560958245e-43
"15","GSK3B","GRHL1",0.509629316099747,5.5220317819277e-31
"16","GSK3B","KIF23",0.600773218414977,2.71739130426379e-45
"17","GSK3B","CCDC150",0.512901812874438,1.99801412379761e-31
"18","GSK3B","LRP8",0.56770853074276,1.3907583751037e-39
"19","GSK3B","TMEM79",0.532748910597715,3.29497686420073e-34
"20","GSK3B","EXO1",0.581737151081924,6.3178841944878e-42
"21","GSK3B","IQGAP3",0.581806058230092,6.1486999844589e-42
"22","GSK3B","KIF18B",0.578577515043353,2.1782531657112e-41
"23","GSK3B","FAM72A",0.517003119604452,5.50156504838672e-32
"24","GSK3B","FAM72A.1",0.517003119604452,5.50156504838672e-32
"25","GSK3B","FAM72A.2",0.517003119604452,5.50156504838672e-32
"26","GSK3B","XRCC2",0.568501453079734,1.03233646791398e-39
"27","P2RX7","FAP",0.579183641048033,1.71966590940036e-41
"28","P2RX7","ADAMTS2",0.519855555927625,2.22033623056438e-32
"29","P2RX7","FMO2",0.588069161069438,5.07557360942188e-43
"30","P2RX7","TREM2",0.632909828045317,1.61861934702696e-51
"31","P2RX7","SFRP4",0.533213363594077,2.82167128281254e-34
"32","P2RX7","GHR",0.515958195764362,7.654446782825e-32
"33","P2RX7","ANGPTL1",0.542343015312586,1.27425597522795e-35
"34","P2RX7","FGL2",0.733879984667186,6.36961721606276e-77
"35","P2RX7","SULF1",0.547871984245443,1.86349684172304e-36
"36","P2RX7","CXCL9",0.511621108267191,2.97817984294897e-31
"37","P2RX7","SLC2A5",0.538245364931226,5.17758945560942e-35
"38","P2RX7","PLA2G7",0.587590643959476,6.15297137959149e-43
"39","P2RX7","TAGLN",0.510150705021349,4.69977127328659e-31
"40","P2RX7","FCGR1A",0.638279375859705,1.24846113486342e-52
"41","P2RX7","LGI4",0.513232409485842,1.80189942922621e-31
"42","P2RX7","ABI3BP",0.582889230163222,4.00967468564909e-42
"43","P2RX7","TIAM1",0.523734059753326,6.37646980480195e-33
"44","P2RX7","HAND2",0.527970535103556,1.60213098338809e-33
"45","P2RX7","FNDC1",0.526605549408712,2.50554874014066e-33
"46","P2RX7","DCSTAMP",0.574168389559676,1.19813654067063e-40
"47","P2RX7","PDZRN4",0.51971665255795,2.3211054871292e-32
"48","P2RX7","COL3A1",0.515632951843225,8.48117374037006e-32
