p.value	HR (95% CI for HR)
TREM2	0.162	1.1 (0.963-1.25)
BGN	0.00733	1.18 (1.05-1.34)
KIF14	0.135	0.83 (0.649-1.06)
CLSPN	0.0501	0.765 (0.585-1)
ECT2	0.0863	0.875 (0.751-1.02)
SCNN1B	0.435	1.08 (0.89-1.31)
MAL	0.6	1.03 (0.928-1.14)
CENPF	0.18	0.892 (0.755-1.05)
DPT	0.2	1.1 (0.949-1.28)
OLR1	0.101	1.14 (0.975-1.33)
DCSTAMP	0.98	0.994 (0.632-1.56)
KIF23	0.301	0.896 (0.727-1.1)
FAP	0.013	1.25 (1.05-1.5)
HTRA4	0.567	1.11 (0.772-1.6)
PLA2G7	0.403	1.06 (0.923-1.22)
STIL	0.0239	0.788 (0.64-0.969)
FNDC1	0.00143	1.17 (1.06-1.29)
ADAMTS2	0.0598	1.13 (0.995-1.29)
SULF1	0.0527	1.11 (0.999-1.24)
KIF18B	0.0291	0.815 (0.679-0.979)
GNG7	0.848	1.02 (0.835-1.25)
KHK	0.0304	0.764 (0.599-0.975)
XRCC2	0.141	0.819 (0.628-1.07)
TPX2	0.379	0.936 (0.809-1.08)
CADM3	0.0236	1.28 (1.03-1.59)
PCK2	0.904	1.01 (0.819-1.25)
KIF18A	0.349	0.899 (0.718-1.12)
ASPA	0.00674	1.69 (1.16-2.46)
CCR8	0.721	0.935 (0.649-1.35)
IQGAP3	0.0858	0.862 (0.728-1.02)
FCGR1A	0.591	1.07 (0.841-1.36)
ADH1B	0.00616	1.17 (1.05-1.31)
PI16	0.193	1.08 (0.964-1.2)
FCGR3A	0.238	1.07 (0.954-1.21)
FAM107A	0.0752	1.18 (0.984-1.41)
SLC2A5	0.688	1.06 (0.804-1.39)
COL3A1	0.00798	1.16 (1.04-1.3)
CCDC69	0.0763	1.12 (0.988-1.27)
COL3A1.1	0.00798	1.16 (1.04-1.3)
ANKRD35	0.0336	1.3 (1.02-1.67)
PNOC	0.865	0.973 (0.706-1.34)
EXO1	0.523	0.931 (0.747-1.16)
CD79A	0.374	1.04 (0.957-1.12)
ADRB2	0.294	1.13 (0.902-1.4)
CXCL11	0.588	0.973 (0.88-1.08)
ALOX12	0.535	1.12 (0.79-1.57)
GRHL1	0.771	0.963 (0.749-1.24)
THBS2	0.0263	1.12 (1.01-1.24)
AQP11	0.202	0.803 (0.574-1.12)
GHR	0.000325	1.52 (1.21-1.9)
TMEM79	0.448	0.885 (0.646-1.21)
RECQL4	0.123	0.874 (0.737-1.04)
KCNA5	0.0434	1.26 (1.01-1.58)
TIAM1	0.0364	1.33 (1.02-1.73)
CHRDL1	0.00514	1.16 (1.05-1.28)
CPXM1	0.109	1.11 (0.977-1.27)
EFS	0.0105	1.29 (1.06-1.56)
SLC5A4	0.961	0.987 (0.572-1.7)
TMEM154	0.804	0.968 (0.751-1.25)
LGI4	0.0191	1.34 (1.05-1.72)
CXCL10	0.816	0.99 (0.91-1.08)
CXCL9	0.574	0.978 (0.903-1.06)
