p.value	HR (95% CI for HR)
BGN	0.00733	1.18 (1.05-1.34)
FAP	0.013	1.25 (1.05-1.5)
STIL	0.0239	0.788 (0.64-0.969)
FNDC1	0.00143	1.17 (1.06-1.29)
KIF18B	0.0291	0.815 (0.679-0.979)
KHK	0.0304	0.764 (0.599-0.975)
CADM3	0.0236	1.28 (1.03-1.59)
ASPA	0.00674	1.69 (1.16-2.46)
ADH1B	0.00616	1.17 (1.05-1.31)
COL3A1	0.00798	1.16 (1.04-1.3)
COL3A1.1	0.00798	1.16 (1.04-1.3)
ANKRD35	0.0336	1.3 (1.02-1.67)
THBS2	0.0263	1.12 (1.01-1.24)
GHR	0.000325	1.52 (1.21-1.9)
KCNA5	0.0434	1.26 (1.01-1.58)
TIAM1	0.0364	1.33 (1.02-1.73)
CHRDL1	0.00514	1.16 (1.05-1.28)
EFS	0.0105	1.29 (1.06-1.56)
LGI4	0.0191	1.34 (1.05-1.72)
