p.value	HR (95% CI for HR)
FAP	0.00643	1.3 (1.08-1.56)
ADAMTS2	0.0501	1.15 (1-1.32)
TPX2	0.283	0.92 (0.791-1.07)
CLSPN	0.0209	0.719 (0.544-0.951)
TREM2	0.0595	1.14 (0.995-1.31)
SLC5A4	0.875	0.951 (0.511-1.77)
EFS	0.0126	1.3 (1.06-1.59)
PCK2	0.556	0.935 (0.749-1.17)
CHRDL1	0.00674	1.16 (1.04-1.29)
CD79A	0.305	1.04 (0.961-1.14)
ASPA	0.00498	1.76 (1.19-2.61)
ALOX12	0.513	1.13 (0.785-1.62)
GHR	0.000175	1.57 (1.24-1.98)
ECT2	0.121	0.882 (0.752-1.03)
CENPF	0.0918	0.861 (0.724-1.02)
KIF14	0.0771	0.794 (0.614-1.03)
KIF18A	0.291	0.882 (0.698-1.11)
STIL	0.0369	0.794 (0.639-0.986)
KCNA5	0.0915	1.23 (0.967-1.56)
SULF1	0.0678	1.11 (0.992-1.25)
KIF23	0.272	0.885 (0.711-1.1)
KHK	0.0266	0.749 (0.58-0.967)
CXCL9	0.713	0.985 (0.907-1.07)
SLC2A5	0.766	1.04 (0.783-1.4)
DPT	0.299	1.09 (0.928-1.27)
PLA2G7	0.311	1.08 (0.931-1.25)
FCGR1A	0.39	1.12 (0.869-1.43)
TIAM1	0.0104	1.43 (1.09-1.88)
RECQL4	0.119	0.868 (0.726-1.04)
CADM3	0.0143	1.32 (1.06-1.64)
PNOC	0.836	0.965 (0.689-1.35)
FAM107A	0.109	1.17 (0.967-1.41)
SCNN1B	0.382	1.1 (0.893-1.34)
COL3A1	0.00818	1.17 (1.04-1.32)
CXCL10	0.836	0.991 (0.907-1.08)
CXCL11	0.615	0.973 (0.876-1.08)
ADRB2	0.243	1.15 (0.911-1.44)
MAL	0.476	1.04 (0.936-1.15)
OLR1	0.0532	1.17 (0.998-1.38)
EXO1	0.357	0.898 (0.714-1.13)
GNG7	0.894	1.01 (0.823-1.25)
CCR8	0.941	0.986 (0.675-1.44)
BGN	0.00502	1.2 (1.06-1.37)
THBS2	0.0161	1.14 (1.02-1.26)
XRCC2	0.0672	0.77 (0.582-1.02)
ADH1B	0.00512	1.18 (1.05-1.33)
CCDC69	0.106	1.12 (0.977-1.28)
