"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"TPX2",4.29817553438175,4.31168373767992,2.34441321764333,5.77147310751478,0.990990990990991,"Confirmed"
"CLSPN",7.93585261332347,7.93778553409141,6.29258360103218,9.82044001633915,1,"Confirmed"
"ECT2",7.3382759240276,7.32787042918054,5.69927144157055,9.04320884231602,1,"Confirmed"
"CENPF",6.89021244402701,6.89859723352078,5.08070875105918,8.41315500888081,1,"Confirmed"
"KIF14",7.98179605306481,7.97087862352241,6.51769027399914,9.78013910237083,1,"Confirmed"
"KIF18A",4.25845544996414,4.26539875831774,2.23311095518998,5.92968807887865,0.980980980980981,"Confirmed"
"STIL",5.17448385987641,5.18021432038258,3.46897897011766,6.87481839274049,0.996996996996997,"Confirmed"
"KIF23",5.94832355835266,5.96648152885238,4.07372665613352,7.52953973639225,1,"Confirmed"
"EXO1",3.64062287701074,3.64694309167199,1.78377690485984,5.24963094766407,0.93993993993994,"Confirmed"
"IQGAP3",4.1159964904464,4.12785171666146,2.08904926038461,5.6889379335403,0.982982982982983,"Confirmed"
"KIF18B",4.64085391817153,4.64467868043481,2.917740346361,6.49002316187707,0.995995995995996,"Confirmed"
"XRCC2",4.34496992054902,4.36811338311759,2.25907852700374,6.15735742196878,0.988988988988989,"Confirmed"
"TREM2",8.6292682981983,8.63900709774354,6.74736375215332,10.1729941413164,1,"Confirmed"
"CXCL9",2.58536503509173,2.64263041770981,-0.867405362863259,4.45747203557083,0.598598598598599,"Confirmed"
"PLA2G7",5.32278117823395,5.34049085215134,3.4786843282906,6.84441629533676,1,"Confirmed"
"FCGR1A",4.06679107140696,4.10922567583922,1.88265150769775,5.7864227522191,0.986986986986987,"Confirmed"
"DCSTAMP",6.05053544836474,6.05389818271179,4.08728790132597,7.62856259075734,1,"Confirmed"
"HTRA4",5.51424583913805,5.49368064474938,3.28828121616272,7.27894869028102,0.998998998998999,"Confirmed"
"OLR1",6.48935570886031,6.49497654372834,4.66930684857316,7.97610659246094,1,"Confirmed"
"CCR8",4.16683771515981,4.18453683022873,1.95734057915106,5.8642554959004,0.988988988988989,"Confirmed"
