"","variable","permutation","dropout_loss","label"
"1","_full_model_",0,0.193400644250293,"GLM"
"2","group",0,0.193400644250293,"GLM"
"3","TIAM1",0,0.194854997768948,"GLM"
"4","FAP",0,0.195783815652299,"GLM"
"5","KHK",0,0.20747193831448,"GLM"
"6","GHR",0,0.258313806021768,"GLM"
"7","BGN",0,0.302061122359208,"GLM"
"8","_baseline_",0,0.334427313349647,"GLM"
"9","_full_model_",1,0.193400644250293,"GLM"
"10","group",1,0.193400644250293,"GLM"
"11","GHR",1,0.263913877246694,"GLM"
"12","BGN",1,0.296232732673262,"GLM"
"13","FAP",1,0.195297056081359,"GLM"
"14","TIAM1",1,0.194806727876267,"GLM"
"15","KHK",1,0.205177333439628,"GLM"
"16","_baseline_",1,0.327483081448671,"GLM"
"17","_full_model_",2,0.193400644250293,"GLM"
"18","group",2,0.193400644250293,"GLM"
"19","GHR",2,0.25654215405627,"GLM"
"20","BGN",2,0.30429825896878,"GLM"
"21","FAP",2,0.196206402047579,"GLM"
"22","TIAM1",2,0.196928095924149,"GLM"
"23","KHK",2,0.207461202262619,"GLM"
"24","_baseline_",2,0.334115071916772,"GLM"
"25","_full_model_",3,0.193400644250293,"GLM"
"26","group",3,0.193400644250293,"GLM"
"27","GHR",3,0.259532256697189,"GLM"
"28","BGN",3,0.291939107351386,"GLM"
"29","FAP",3,0.196958119979011,"GLM"
"30","TIAM1",3,0.194000387354898,"GLM"
"31","KHK",3,0.20596309215857,"GLM"
"32","_baseline_",3,0.336401518162944,"GLM"
"33","_full_model_",4,0.193400644250293,"GLM"
"34","group",4,0.193400644250293,"GLM"
"35","GHR",4,0.254114694150443,"GLM"
"36","BGN",4,0.308203836725,"GLM"
"37","FAP",4,0.196493225840094,"GLM"
"38","TIAM1",4,0.193673278844302,"GLM"
"39","KHK",4,0.208295559887531,"GLM"
"40","_baseline_",4,0.334533342413387,"GLM"
"41","_full_model_",5,0.193400644250293,"GLM"
"42","group",5,0.193400644250293,"GLM"
"43","GHR",5,0.262538070444226,"GLM"
"44","BGN",5,0.308438352477569,"GLM"
"45","FAP",5,0.196855632702844,"GLM"
"46","TIAM1",5,0.195373523308063,"GLM"
"47","KHK",5,0.213720466810768,"GLM"
"48","_baseline_",5,0.331169831082023,"GLM"
"49","_full_model_",6,0.193400644250293,"GLM"
"50","group",6,0.193400644250293,"GLM"
"51","GHR",6,0.267178735525179,"GLM"
"52","BGN",6,0.305198500614637,"GLM"
"53","FAP",6,0.195263982342803,"GLM"
"54","TIAM1",6,0.195012899882389,"GLM"
"55","KHK",6,0.210124682511826,"GLM"
"56","_baseline_",6,0.326670544916913,"GLM"
"57","_full_model_",7,0.193400644250293,"GLM"
"58","group",7,0.193400644250293,"GLM"
"59","GHR",7,0.261351696444169,"GLM"
"60","BGN",7,0.304580734646755,"GLM"
"61","FAP",7,0.194347918820295,"GLM"
"62","TIAM1",7,0.195643742152723,"GLM"
"63","KHK",7,0.207777556723103,"GLM"
"64","_baseline_",7,0.332262954043735,"GLM"
"65","_full_model_",8,0.193400644250293,"GLM"
"66","group",8,0.193400644250293,"GLM"
"67","GHR",8,0.256327815692169,"GLM"
"68","BGN",8,0.299568197729506,"GLM"
"69","FAP",8,0.195586367816583,"GLM"
"70","TIAM1",8,0.193882116479568,"GLM"
"71","KHK",8,0.205546510391369,"GLM"
"72","_baseline_",8,0.336803574116221,"GLM"
"73","_full_model_",9,0.193400644250293,"GLM"
"74","group",9,0.193400644250293,"GLM"
"75","GHR",9,0.248932116807942,"GLM"
"76","BGN",9,0.306591348269379,"GLM"
"77","FAP",9,0.196253085495188,"GLM"
"78","TIAM1",9,0.195383269141723,"GLM"
"79","KHK",9,0.204300665850976,"GLM"
"80","_baseline_",9,0.337042077375138,"GLM"
"81","_full_model_",10,0.193400644250293,"GLM"
"82","group",10,0.193400644250293,"GLM"
"83","GHR",10,0.2527066431534,"GLM"
"84","BGN",10,0.295560154135806,"GLM"
"85","FAP",10,0.194576365397238,"GLM"
"86","TIAM1",10,0.1938459367254,"GLM"
"87","KHK",10,0.206352313108415,"GLM"
"88","_baseline_",10,0.347791138020666,"GLM"
