"","variable","permutation","dropout_loss","label"
"1","_full_model_",0,0.193471015481561,"PLS"
"2","group",0,0.193471015481561,"PLS"
"3","FAP",0,0.194137517307376,"PLS"
"4","TIAM1",0,0.194939232001235,"PLS"
"5","KHK",0,0.207489349792108,"PLS"
"6","GHR",0,0.259967733507086,"PLS"
"7","BGN",0,0.293443819803662,"PLS"
"8","_baseline_",0,0.32740192171843,"PLS"
"9","_full_model_",1,0.193471015481561,"PLS"
"10","group",1,0.193471015481561,"PLS"
"11","GHR",1,0.259200195530515,"PLS"
"12","BGN",1,0.282212568391188,"PLS"
"13","FAP",1,0.194119323015414,"PLS"
"14","TIAM1",1,0.195691478482123,"PLS"
"15","KHK",1,0.209093418798074,"PLS"
"16","_baseline_",1,0.315515196652688,"PLS"
"17","_full_model_",2,0.193471015481561,"PLS"
"18","group",2,0.193471015481561,"PLS"
"19","GHR",2,0.262979334233365,"PLS"
"20","BGN",2,0.297949240697984,"PLS"
"21","FAP",2,0.195059957096066,"PLS"
"22","TIAM1",2,0.194833445021549,"PLS"
"23","KHK",2,0.206824773280337,"PLS"
"24","_baseline_",2,0.331538423197657,"PLS"
"25","_full_model_",3,0.193471015481561,"PLS"
"26","group",3,0.193471015481561,"PLS"
"27","GHR",3,0.249299653919839,"PLS"
"28","BGN",3,0.283887318681402,"PLS"
"29","FAP",3,0.194117325577982,"PLS"
"30","TIAM1",3,0.194177533376207,"PLS"
"31","KHK",3,0.20594745032713,"PLS"
"32","_baseline_",3,0.323265506907815,"PLS"
"33","_full_model_",4,0.193471015481561,"PLS"
"34","group",4,0.193471015481561,"PLS"
"35","GHR",4,0.255522430883225,"PLS"
"36","BGN",4,0.291602246116029,"PLS"
"37","FAP",4,0.19402410446302,"PLS"
"38","TIAM1",4,0.19456335187609,"PLS"
"39","KHK",4,0.208019895349854,"PLS"
"40","_baseline_",4,0.338974536411579,"PLS"
"41","_full_model_",5,0.193471015481561,"PLS"
"42","group",5,0.193471015481561,"PLS"
"43","GHR",5,0.255138034749709,"PLS"
"44","BGN",5,0.287543800896641,"PLS"
"45","FAP",5,0.194042790673762,"PLS"
"46","TIAM1",5,0.195915746615241,"PLS"
"47","KHK",5,0.212297471171931,"PLS"
"48","_baseline_",5,0.332488025759968,"PLS"
"49","_full_model_",6,0.193471015481561,"PLS"
"50","group",6,0.193471015481561,"PLS"
"51","GHR",6,0.258245746444091,"PLS"
"52","BGN",6,0.289022528458349,"PLS"
"53","FAP",6,0.195143292935231,"PLS"
"54","TIAM1",6,0.194387292942248,"PLS"
"55","KHK",6,0.208092669258854,"PLS"
"56","_baseline_",6,0.327610519958995,"PLS"
"57","_full_model_",7,0.193471015481561,"PLS"
"58","group",7,0.193471015481561,"PLS"
"59","GHR",7,0.25921208652847,"PLS"
"60","BGN",7,0.299478992227097,"PLS"
"61","FAP",7,0.193438016867201,"PLS"
"62","TIAM1",7,0.194443292247056,"PLS"
"63","KHK",7,0.206747015043304,"PLS"
"64","_baseline_",7,0.319175674690366,"PLS"
"65","_full_model_",8,0.193471015481561,"PLS"
"66","group",8,0.193471015481561,"PLS"
"67","GHR",8,0.273329045898144,"PLS"
"68","BGN",8,0.297354588367606,"PLS"
"69","FAP",8,0.19376319735601,"PLS"
"70","TIAM1",8,0.194447909462724,"PLS"
"71","KHK",8,0.207674480276252,"PLS"
"72","_baseline_",8,0.338277512648101,"PLS"
"73","_full_model_",9,0.193471015481561,"PLS"
"74","group",9,0.193471015481561,"PLS"
"75","GHR",9,0.261672808061776,"PLS"
"76","BGN",9,0.296658770722706,"PLS"
"77","FAP",9,0.193588246337076,"PLS"
"78","TIAM1",9,0.195375025472748,"PLS"
"79","KHK",9,0.208068286145364,"PLS"
"80","_baseline_",9,0.314086992467725,"PLS"
"81","_full_model_",10,0.193471015481561,"PLS"
"82","group",10,0.193471015481561,"PLS"
"83","GHR",10,0.26507799882173,"PLS"
"84","BGN",10,0.308728143477619,"PLS"
"85","FAP",10,0.194078918751994,"PLS"
"86","TIAM1",10,0.195557244516362,"PLS"
"87","KHK",10,0.202128038269985,"PLS"
"88","_baseline_",10,0.333086828489408,"PLS"
