"","variable","permutation","dropout_loss","label"
"1","_full_model_",0,0.0586909762866128,"RF"
"2","group",0,0.0586909762866128,"RF"
"3","KHK",0,0.0822882458038211,"RF"
"4","TIAM1",0,0.0947718831403176,"RF"
"5","FAP",0,0.105955540206385,"RF"
"6","GHR",0,0.223321185000729,"RF"
"7","BGN",0,0.239272706899216,"RF"
"8","_baseline_",0,0.365867733309766,"RF"
"9","_full_model_",1,0.0586909762866128,"RF"
"10","group",1,0.0586909762866128,"RF"
"11","GHR",1,0.234208490573256,"RF"
"12","BGN",1,0.244807820895549,"RF"
"13","FAP",1,0.104588716259107,"RF"
"14","TIAM1",1,0.0924640528338892,"RF"
"15","KHK",1,0.0821397395780894,"RF"
"16","_baseline_",1,0.371067927058007,"RF"
"17","_full_model_",2,0.0586909762866128,"RF"
"18","group",2,0.0586909762866128,"RF"
"19","GHR",2,0.245148437384296,"RF"
"20","BGN",2,0.227155446977009,"RF"
"21","FAP",2,0.108688274105952,"RF"
"22","TIAM1",2,0.0935690768559991,"RF"
"23","KHK",2,0.084377154669072,"RF"
"24","_baseline_",2,0.358173673931343,"RF"
"25","_full_model_",3,0.0586909762866128,"RF"
"26","group",3,0.0586909762866128,"RF"
"27","GHR",3,0.20158733435664,"RF"
"28","BGN",3,0.23079236239962,"RF"
"29","FAP",3,0.103411951892695,"RF"
"30","TIAM1",3,0.0958850990998451,"RF"
"31","KHK",3,0.0833366180734904,"RF"
"32","_baseline_",3,0.370047237631128,"RF"
"33","_full_model_",4,0.0586909762866128,"RF"
"34","group",4,0.0586909762866128,"RF"
"35","GHR",4,0.228422978331586,"RF"
"36","BGN",4,0.234949701996638,"RF"
"37","FAP",4,0.105911376732604,"RF"
"38","TIAM1",4,0.0945879793468271,"RF"
"39","KHK",4,0.0824445649844159,"RF"
"40","_baseline_",4,0.369784750429026,"RF"
"41","_full_model_",5,0.0586909762866128,"RF"
"42","group",5,0.0586909762866128,"RF"
"43","GHR",5,0.238399217101517,"RF"
"44","BGN",5,0.24472406386687,"RF"
"45","FAP",5,0.110362278458782,"RF"
"46","TIAM1",5,0.100271309610624,"RF"
"47","KHK",5,0.0855082490306154,"RF"
"48","_baseline_",5,0.376059268145053,"RF"
"49","_full_model_",6,0.0586909762866128,"RF"
"50","group",6,0.0586909762866128,"RF"
"51","GHR",6,0.20357519426361,"RF"
"52","BGN",6,0.229228076127557,"RF"
"53","FAP",6,0.1071479066546,"RF"
"54","TIAM1",6,0.0900147022747188,"RF"
"55","KHK",6,0.0800446480950314,"RF"
"56","_baseline_",6,0.361444395906751,"RF"
"57","_full_model_",7,0.0586909762866128,"RF"
"58","group",7,0.0586909762866128,"RF"
"59","GHR",7,0.206710483209662,"RF"
"60","BGN",7,0.250332887333686,"RF"
"61","FAP",7,0.102136860730249,"RF"
"62","TIAM1",7,0.0931911188286058,"RF"
"63","KHK",7,0.0825578977368353,"RF"
"64","_baseline_",7,0.366781553623445,"RF"
"65","_full_model_",8,0.0586909762866128,"RF"
"66","group",8,0.0586909762866128,"RF"
"67","GHR",8,0.243477103275646,"RF"
"68","BGN",8,0.248368418165385,"RF"
"69","FAP",8,0.104593649691969,"RF"
"70","TIAM1",8,0.09502645388143,"RF"
"71","KHK",8,0.0808113690550506,"RF"
"72","_baseline_",8,0.352153152760362,"RF"
"73","_full_model_",9,0.0586909762866128,"RF"
"74","group",9,0.0586909762866128,"RF"
"75","GHR",9,0.208569081115821,"RF"
"76","BGN",9,0.24433077346396,"RF"
"77","FAP",9,0.102867873992975,"RF"
"78","TIAM1",9,0.094910715042698,"RF"
"79","KHK",9,0.0806294047355781,"RF"
"80","_baseline_",9,0.37112072563933,"RF"
"81","_full_model_",10,0.0586909762866128,"RF"
"82","group",10,0.0586909762866128,"RF"
"83","GHR",10,0.22311353039526,"RF"
"84","BGN",10,0.238037517765882,"RF"
"85","FAP",10,0.109846513544919,"RF"
"86","TIAM1",10,0.0977983236285391,"RF"
"87","KHK",10,0.0810328120800326,"RF"
"88","_baseline_",10,0.362044647973212,"RF"
