"","variable","permutation","dropout_loss","label"
"1","_full_model_",0,0.103336438759244,"SVM"
"2","group",0,0.103336438759244,"SVM"
"3","TIAM1",0,0.12847877739263,"SVM"
"4","KHK",0,0.148408863536809,"SVM"
"5","FAP",0,0.155929560344042,"SVM"
"6","BGN",0,0.221428214266111,"SVM"
"7","GHR",0,0.242100099928902,"SVM"
"8","_baseline_",0,0.353833937655802,"SVM"
"9","_full_model_",1,0.103336438759244,"SVM"
"10","group",1,0.103336438759244,"SVM"
"11","GHR",1,0.213364177745502,"SVM"
"12","BGN",1,0.208116489446209,"SVM"
"13","FAP",1,0.152223543228484,"SVM"
"14","TIAM1",1,0.122704989983353,"SVM"
"15","KHK",1,0.145211206455017,"SVM"
"16","_baseline_",1,0.338863644987409,"SVM"
"17","_full_model_",2,0.103336438759244,"SVM"
"18","group",2,0.103336438759244,"SVM"
"19","GHR",2,0.258066999233124,"SVM"
"20","BGN",2,0.225394825603692,"SVM"
"21","FAP",2,0.154333896039652,"SVM"
"22","TIAM1",2,0.124918501305897,"SVM"
"23","KHK",2,0.146854764594752,"SVM"
"24","_baseline_",2,0.363798439619144,"SVM"
"25","_full_model_",3,0.103336438759244,"SVM"
"26","group",3,0.103336438759244,"SVM"
"27","GHR",3,0.237300661888075,"SVM"
"28","BGN",3,0.210073647847191,"SVM"
"29","FAP",3,0.160883563191638,"SVM"
"30","TIAM1",3,0.127309089645857,"SVM"
"31","KHK",3,0.136511402798492,"SVM"
"32","_baseline_",3,0.353240111075183,"SVM"
"33","_full_model_",4,0.103336438759244,"SVM"
"34","group",4,0.103336438759244,"SVM"
"35","GHR",4,0.240201905149785,"SVM"
"36","BGN",4,0.22479290671385,"SVM"
"37","FAP",4,0.1471034280266,"SVM"
"38","TIAM1",4,0.13641993699479,"SVM"
"39","KHK",4,0.156274061393506,"SVM"
"40","_baseline_",4,0.339010187025425,"SVM"
"41","_full_model_",5,0.103336438759244,"SVM"
"42","group",5,0.103336438759244,"SVM"
"43","GHR",5,0.242079457805321,"SVM"
"44","BGN",5,0.233321959187448,"SVM"
"45","FAP",5,0.164553127215805,"SVM"
"46","TIAM1",5,0.126071527013768,"SVM"
"47","KHK",5,0.143739091136445,"SVM"
"48","_baseline_",5,0.361418107674136,"SVM"
"49","_full_model_",6,0.103336438759244,"SVM"
"50","group",6,0.103336438759244,"SVM"
"51","GHR",6,0.239343843598979,"SVM"
"52","BGN",6,0.22137001767596,"SVM"
"53","FAP",6,0.155485833427706,"SVM"
"54","TIAM1",6,0.128529092742968,"SVM"
"55","KHK",6,0.148494428749204,"SVM"
"56","_baseline_",6,0.357785338668537,"SVM"
"57","_full_model_",7,0.103336438759244,"SVM"
"58","group",7,0.103336438759244,"SVM"
"59","GHR",7,0.231149323954796,"SVM"
"60","BGN",7,0.227428323669383,"SVM"
"61","FAP",7,0.157729599461174,"SVM"
"62","TIAM1",7,0.130468249809897,"SVM"
"63","KHK",7,0.15240172733902,"SVM"
"64","_baseline_",7,0.353333295604122,"SVM"
"65","_full_model_",8,0.103336438759244,"SVM"
"66","group",8,0.103336438759244,"SVM"
"67","GHR",8,0.242277198962406,"SVM"
"68","BGN",8,0.220655849543015,"SVM"
"69","FAP",8,0.146875679051384,"SVM"
"70","TIAM1",8,0.131862579160381,"SVM"
"71","KHK",8,0.161118908848565,"SVM"
"72","_baseline_",8,0.36253371271171,"SVM"
"73","_full_model_",9,0.103336438759244,"SVM"
"74","group",9,0.103336438759244,"SVM"
"75","GHR",9,0.25862660619825,"SVM"
"76","BGN",9,0.220267888034001,"SVM"
"77","FAP",9,0.165258747253767,"SVM"
"78","TIAM1",9,0.124979629591476,"SVM"
"79","KHK",9,0.150668474833079,"SVM"
"80","_baseline_",9,0.348007010856472,"SVM"
"81","_full_model_",10,0.103336438759244,"SVM"
"82","group",10,0.103336438759244,"SVM"
"83","GHR",10,0.258590824752785,"SVM"
"84","BGN",10,0.222860234940363,"SVM"
"85","FAP",10,0.154848186544214,"SVM"
"86","TIAM1",10,0.13152417767792,"SVM"
"87","KHK",10,0.142814569220013,"SVM"
"88","_baseline_",10,0.360349528335878,"SVM"
