"","variable","permutation","dropout_loss","label"
"1","_full_model_",0,0.236700371841596,"xgboost"
"2","(Intercept)",0,0.236700371841596,"xgboost"
"3","FAP",0,0.23701009621227,"xgboost"
"4","TIAM1",0,0.238531740885253,"xgboost"
"5","KHK",0,0.240708601550753,"xgboost"
"6","GHR",0,0.260541449848931,"xgboost"
"7","BGN",0,0.266484667522282,"xgboost"
"8","_baseline_",0,0.279510865813831,"xgboost"
"9","_full_model_",1,0.236700371841596,"xgboost"
"10","(Intercept)",1,0.236700371841596,"xgboost"
"11","GHR",1,0.256706719678829,"xgboost"
"12","BGN",1,0.262860711817272,"xgboost"
"13","FAP",1,0.236994548727652,"xgboost"
"14","TIAM1",1,0.238346220454862,"xgboost"
"15","KHK",1,0.240839186590788,"xgboost"
"16","_baseline_",1,0.279405930569821,"xgboost"
"17","_full_model_",2,0.236700371841596,"xgboost"
"18","(Intercept)",2,0.236700371841596,"xgboost"
"19","GHR",2,0.263243071415844,"xgboost"
"20","BGN",2,0.265533059320943,"xgboost"
"21","FAP",2,0.237039863935616,"xgboost"
"22","TIAM1",2,0.238516597088905,"xgboost"
"23","KHK",2,0.241394993010646,"xgboost"
"24","_baseline_",2,0.281791135688032,"xgboost"
"25","_full_model_",3,0.236700371841596,"xgboost"
"26","(Intercept)",3,0.236700371841596,"xgboost"
"27","GHR",3,0.261072292214088,"xgboost"
"28","BGN",3,0.267625274183388,"xgboost"
"29","FAP",3,0.236979732428771,"xgboost"
"30","TIAM1",3,0.238869722710323,"xgboost"
"31","KHK",3,0.24139824833321,"xgboost"
"32","_baseline_",3,0.272139284749835,"xgboost"
"33","_full_model_",4,0.236700371841596,"xgboost"
"34","(Intercept)",4,0.236700371841596,"xgboost"
"35","GHR",4,0.261652432446511,"xgboost"
"36","BGN",4,0.263740880102235,"xgboost"
"37","FAP",4,0.236997945020589,"xgboost"
"38","TIAM1",4,0.238301635116418,"xgboost"
"39","KHK",4,0.240514492257716,"xgboost"
"40","_baseline_",4,0.28178961164118,"xgboost"
"41","_full_model_",5,0.236700371841596,"xgboost"
"42","(Intercept)",5,0.236700371841596,"xgboost"
"43","GHR",5,0.260079912271794,"xgboost"
"44","BGN",5,0.268921620343821,"xgboost"
"45","FAP",5,0.236993172051623,"xgboost"
"46","TIAM1",5,0.238622146033721,"xgboost"
"47","KHK",5,0.241059124953257,"xgboost"
"48","_baseline_",5,0.281793655544974,"xgboost"
"49","_full_model_",6,0.236700371841596,"xgboost"
"50","(Intercept)",6,0.236700371841596,"xgboost"
"51","GHR",6,0.259539234360442,"xgboost"
"52","BGN",6,0.268338020337737,"xgboost"
"53","FAP",6,0.237014153852703,"xgboost"
"54","TIAM1",6,0.238680014410085,"xgboost"
"55","KHK",6,0.239774256285265,"xgboost"
"56","_baseline_",6,0.278211271121415,"xgboost"
"57","_full_model_",7,0.236700371841596,"xgboost"
"58","(Intercept)",7,0.236700371841596,"xgboost"
"59","GHR",7,0.260779142244412,"xgboost"
"60","BGN",7,0.267885470009005,"xgboost"
"61","FAP",7,0.237003806510195,"xgboost"
"62","TIAM1",7,0.238300956166306,"xgboost"
"63","KHK",7,0.240052275426522,"xgboost"
"64","_baseline_",7,0.279416982260249,"xgboost"
"65","_full_model_",8,0.236700371841596,"xgboost"
"66","(Intercept)",8,0.236700371841596,"xgboost"
"67","GHR",8,0.2596904456653,"xgboost"
"68","BGN",8,0.265382030104939,"xgboost"
"69","FAP",8,0.236990614988912,"xgboost"
"70","TIAM1",8,0.238420228342378,"xgboost"
"71","KHK",8,0.239657948508277,"xgboost"
"72","_baseline_",8,0.27580048842989,"xgboost"
"73","_full_model_",9,0.236700371841596,"xgboost"
"74","(Intercept)",9,0.236700371841596,"xgboost"
"75","GHR",9,0.260062124964962,"xgboost"
"76","BGN",9,0.267286799826486,"xgboost"
"77","FAP",9,0.237022195196467,"xgboost"
"78","TIAM1",9,0.238772407217072,"xgboost"
"79","KHK",9,0.241056694356151,"xgboost"
"80","_baseline_",9,0.282972753830023,"xgboost"
"81","_full_model_",10,0.236700371841596,"xgboost"
"82","(Intercept)",10,0.236700371841596,"xgboost"
"83","GHR",10,0.262589123227125,"xgboost"
"84","BGN",10,0.267272809176995,"xgboost"
"85","FAP",10,0.237064929410171,"xgboost"
"86","TIAM1",10,0.238487481312456,"xgboost"
"87","KHK",10,0.2413387957857,"xgboost"
"88","_baseline_",10,0.28178754430289,"xgboost"
