,Mast cells resting,Monocytes,Macrophages M0,B cells naive,Macrophages M2,T cells CD4 memory activated,Eosinophils,Mast cells activated,Neutrophils,T cells follicular helper,Dendritic cells resting
Mast cells resting,1,0.136945606145982,-0.417836788861444,0.17267710115807,0.212161991308831,-0.0891863724988541,-0.0564389182258136,-0.589871729330475,-0.283987636213738,-0.172014373229944,0.27001099186931
Monocytes,0.136945606145982,1,-0.259621001494458,-0.0253745989109252,0.0791733527258229,-0.234598803194917,0.101126581539976,0.0591846777906002,-0.0903076616356308,-0.100568696067308,0.0686372885002327
Macrophages M0,-0.417836788861444,-0.259621001494458,1,-0.061152658402327,-0.180043516566539,-0.0806920197319048,-0.0607325356080783,0.272761360118942,0.128743644839348,0.0570541606254028,-0.322474550736013
B cells naive,0.17267710115807,-0.0253745989109252,-0.061152658402327,1,-0.283526115323552,-0.156880664644832,-0.150512081339624,-0.118158221318613,-0.232395242091281,-0.000613094354382895,0.0100310024088004
Macrophages M2,0.212161991308831,0.0791733527258229,-0.180043516566539,-0.283526115323552,1,-0.0410364179378143,0.12607237639185,-0.139127324626925,-0.0210036099476958,-0.15975098398729,0.137981502659822
T cells CD4 memory activated,-0.0891863724988541,-0.234598803194917,-0.0806920197319048,-0.156880664644832,-0.0410364179378143,1,0.0246454354090773,-0.267032079800963,0.00792198107296072,0.251762952514288,-0.0420719408422959
Eosinophils,-0.0564389182258136,0.101126581539976,-0.0607325356080783,-0.150512081339624,0.12607237639185,0.0246454354090773,1,0.097337028248757,0.070084333557805,-0.0107009412170961,0.0661172591773106
Mast cells activated,-0.589871729330475,0.0591846777906002,0.272761360118942,-0.118158221318613,-0.139127324626925,-0.267032079800963,0.097337028248757,1,0.371706794849646,-0.0903734811815849,-0.139460855358571
Neutrophils,-0.283987636213738,-0.0903076616356308,0.128743644839348,-0.232395242091281,-0.0210036099476958,0.00792198107296072,0.070084333557805,0.371706794849646,1,-0.100639706635478,-0.115053115225273
T cells follicular helper,-0.172014373229944,-0.100568696067308,0.0570541606254028,-0.000613094354382895,-0.15975098398729,0.251762952514288,-0.0107009412170961,-0.0903734811815849,-0.100639706635478,1,-0.109504647294623
Dendritic cells resting,0.27001099186931,0.0686372885002327,-0.322474550736013,0.0100310024088004,0.137981502659822,-0.0420719408422959,0.0661172591773106,-0.139460855358571,-0.115053115225273,-0.109504647294623,1
