"","Sample","group","Cell_type","Proportion"
"1","TCGA-BR-6454-01A","Normal","B cells naive",0.0947615049496202
"2","TCGA-HU-A4H8-01A","Normal","B cells naive",0
"3","TCGA-HU-8238-01A","Normal","B cells naive",0.0926833683220647
"4","TCGA-HU-A4GN-01A","Normal","B cells naive",0
"5","TCGA-IP-7968-01A","Normal","B cells naive",0.0040003691397312
"6","TCGA-IP-7968-11A","Normal","B cells naive",0
"7","TCGA-VQ-AA64-01A","Normal","B cells naive",0.109638756006312
"8","TCGA-BR-A4PE-01A","Normal","B cells naive",0.0226109226128073
"9","TCGA-IN-A6RR-01A","Normal","B cells naive",0.119342369727025
"10","TCGA-HU-A4G3-01A","Normal","B cells naive",0.0228666360960679
"11","TCGA-R5-A7ZE-01B","Normal","B cells naive",0.178255249663288
"12","TCGA-BR-A452-01A","Normal","B cells naive",0.122566844843977
"13","TCGA-D7-6524-01A","Normal","B cells naive",0.045327207080235
"14","TCGA-HU-A4GQ-01A","Normal","B cells naive",0.0433790700154258
"15","TCGA-CD-A489-01A","Normal","B cells naive",0.0721494813778792
"16","TCGA-BR-7707-01A","Normal","B cells naive",0
"17","TCGA-BR-6455-01A","Normal","B cells naive",0.0507112821570066
"18","TCGA-BR-8683-01A","Normal","B cells naive",0.107500373070671
"19","TCGA-HU-A4G9-01A","Normal","B cells naive",0
"20","TCGA-BR-8289-01A","Normal","B cells naive",0.0765641180364226
"21","TCGA-SW-A7EA-01A","Normal","B cells naive",0
"22","TCGA-CG-5726-01A","Normal","B cells naive",0
"23","TCGA-VQ-A922-01A","Normal","B cells naive",0.13216630766884
"24","TCGA-BR-6709-01A","Normal","B cells naive",0.0191909587941315
"25","TCGA-BR-8286-01A","Normal","B cells naive",0.0187092097701204
"26","TCGA-BR-8686-01A","Normal","B cells naive",0.0933626729871131
"27","TCGA-VQ-A8PD-01A","Normal","B cells naive",0.105487911880803
"28","TCGA-HJ-7597-01A","Normal","B cells naive",0.075233693317407
"29","TCGA-BR-8361-01A","Normal","B cells naive",0.0196642130885226
"30","TCGA-IN-7806-01A","Normal","B cells naive",0.0282731269037665
"31","TCGA-BR-4201-01A","Normal","B cells naive",0.0123430190385772
"32","TCGA-CG-4436-01A","Normal","B cells naive",0.0135943972706212
"33","TCGA-BR-A4CR-01A","Normal","B cells naive",0.144853335344952
"34","TCGA-3M-AB47-01A","Normal","B cells naive",0.181868637130205
"35","TCGA-BR-A4QI-01A","Normal","B cells naive",0.0519846983269068
"36","TCGA-CG-4440-01A","Normal","B cells naive",0
"37","TCGA-BR-6454-01A","Normal","B cells memory",0
"38","TCGA-HU-A4H8-01A","Normal","B cells memory",0.0461525272152727
"39","TCGA-HU-8238-01A","Normal","B cells memory",0
"40","TCGA-HU-A4GN-01A","Normal","B cells memory",0.0302592234606225
"41","TCGA-IP-7968-01A","Normal","B cells memory",0
"42","TCGA-IP-7968-11A","Normal","B cells memory",0
"43","TCGA-VQ-AA64-01A","Normal","B cells memory",0
"44","TCGA-BR-A4PE-01A","Normal","B cells memory",0
"45","TCGA-IN-A6RR-01A","Normal","B cells memory",0
"46","TCGA-HU-A4G3-01A","Normal","B cells memory",0
"47","TCGA-R5-A7ZE-01B","Normal","B cells memory",0
"48","TCGA-BR-A452-01A","Normal","B cells memory",0
"49","TCGA-D7-6524-01A","Normal","B cells memory",0
"50","TCGA-HU-A4GQ-01A","Normal","B cells memory",0
"51","TCGA-CD-A489-01A","Normal","B cells memory",0.0424223762809718
"52","TCGA-BR-7707-01A","Normal","B cells memory",0
"53","TCGA-BR-6455-01A","Normal","B cells memory",0
