"","Sample","group","Cell_type","Proportion"
"1","TCGA-B7-5816-01A","High","B cells naive",0.00111995189980724
"2","TCGA-B7-A5TI-01A","High","B cells naive",0.0918967471231923
"3","TCGA-B7-A5TK-01A","High","B cells naive",0.0102743396663685
"4","TCGA-B7-A5TN-01A","High","B cells naive",0.0599972972845553
"5","TCGA-BR-4187-01A","High","B cells naive",0.0316985823794826
"6","TCGA-BR-4191-01A","High","B cells naive",0.0660008587644868
"7","TCGA-BR-4201-01A","High","B cells naive",0.0123430190385772
"8","TCGA-BR-4255-01A","High","B cells naive",0.0580435661110092
"9","TCGA-BR-4256-01A","High","B cells naive",0
"10","TCGA-BR-4257-01A","High","B cells naive",0.00288910629769097
"11","TCGA-BR-4279-01A","High","B cells naive",0.0306158382802086
"12","TCGA-BR-6456-01A","High","B cells naive",0.0275002066843507
"13","TCGA-BR-6457-01A","High","B cells naive",0.0854190467199673
"14","TCGA-BR-6458-01A","High","B cells naive",0.0216284764193043
"15","TCGA-BR-6563-01A","High","B cells naive",0.152342178103915
"16","TCGA-BR-6564-01A","High","B cells naive",0.0773393643880079
"17","TCGA-BR-6705-01A","High","B cells naive",0.0472042450362288
"18","TCGA-BR-6706-01A","High","B cells naive",0.0250165714899024
"19","TCGA-BR-6709-01A","High","B cells naive",0.0191909587941315
"20","TCGA-BR-6803-01A","High","B cells naive",0.0665586704065068
"21","TCGA-BR-7196-01A","High","B cells naive",0.0592282531257334
"22","TCGA-BR-7722-01A","High","B cells naive",0.0365217873586408
"23","TCGA-BR-7723-01A","High","B cells naive",0.0515367616953427
"24","TCGA-BR-7901-01A","High","B cells naive",0.0792954426146357
"25","TCGA-BR-7957-01A","High","B cells naive",0.0101388321061051
"26","TCGA-BR-7958-01A","High","B cells naive",0.0322558533080775
"27","TCGA-BR-7959-01A","High","B cells naive",0.0726510137427289
"28","TCGA-BR-8058-01A","High","B cells naive",0.0439775856120027
"29","TCGA-BR-8059-01A","High","B cells naive",0
"30","TCGA-BR-8060-01A","High","B cells naive",0
"31","TCGA-BR-8080-01A","High","B cells naive",0.0588886647116015
"32","TCGA-BR-8284-01A","High","B cells naive",0.0460846886266952
"33","TCGA-BR-8291-01A","High","B cells naive",0.0257471424625841
"34","TCGA-BR-8296-01A","High","B cells naive",0.217066054081826
"35","TCGA-BR-8297-01A","High","B cells naive",0.0868406126874432
"36","TCGA-BR-8362-01A","High","B cells naive",0.049512196017302
"37","TCGA-BR-8364-01A","High","B cells naive",0.0701420816950224
"38","TCGA-BR-8365-01A","High","B cells naive",0.0781969374562964
"39","TCGA-BR-8367-01A","High","B cells naive",0.0790230301692714
"40","TCGA-BR-8369-01A","High","B cells naive",0.198995854855549
"41","TCGA-BR-8371-01A","High","B cells naive",0.286065786099557
"42","TCGA-BR-8373-01A","High","B cells naive",0.0462827096092442
"43","TCGA-BR-8381-01A","High","B cells naive",0.069071738083119
"44","TCGA-BR-8384-01A","High","B cells naive",0.077646123571015
"45","TCGA-BR-8484-01A","High","B cells naive",0.0574344388935346
"46","TCGA-BR-8590-01A","High","B cells naive",0.0513436559939468
"47","TCGA-BR-8592-01A","High","B cells naive",0.0941206656719165
"48","TCGA-BR-8677-01A","High","B cells naive",0.00801993076221465
"49","TCGA-BR-8686-01A","High","B cells naive",0.0933626729871131
"50","TCGA-BR-8687-01A","High","B cells naive",0.0253539103224727
"51","TCGA-BR-8690-01A","High","B cells naive",0.0313306727674984
"52","TCGA-BR-A44T-01A","High","B cells naive",0.192675278072655
"53","TCGA-BR-A453-01A","High","B cells naive",0.0336686250820647
"54","TCGA-BR-A4IU-01A","High","B cells naive",0.156480151693388
"55","TCGA-BR-A4IV-01A","High","B cells naive",0.0583953499884808
"56","TCGA-BR-A4IY-01A","High","B cells naive",0.015804791164625
"57","TCGA-BR-A4IZ-01A","High","B cells naive",0.0304144754944468
"58","TCGA-BR-A4J2-01A","High","B cells naive",0.156227275454185
"59","TCGA-BR-A4J5-01A","High","B cells naive",0.0841434350285412
"60","TCGA-CD-5798-01A","High","B cells naive",0.017528378133387
"61","TCGA-CD-5803-01A","High","B cells naive",0.0631232617632469
"62","TCGA-CD-5813-01A","High","B cells naive",0.0991737850277433
"63","TCGA-CD-8524-01A","High","B cells naive",0.0678168221092764
"64","TCGA-CD-8529-01A","High","B cells naive",0.0982366302403043
"65","TCGA-CD-8530-01A","High","B cells naive",0.0281470470958526
"66","TCGA-CD-8535-01A","High","B cells naive",0.0984065042026942
"67","TCGA-CD-A486-01A","High","B cells naive",0.0452933340160165
"68","TCGA-CD-A487-01A","High","B cells naive",0.0463997637979536
"69","TCGA-CD-A489-01A","High","B cells naive",0.0721494813778792
"70","TCGA-CD-A48C-01A","High","B cells naive",0.0307705883188269
"71","TCGA-CD-A4MI-01A","High","B cells naive",0.0866958114044896
"72","TCGA-CG-4301-01A","High","B cells naive",0.028077239161087
"73","TCGA-CG-4305-01A","High","B cells naive",0.0555520316542848
"74","TCGA-CG-4475-01A","High","B cells naive",0.0433081660512942
"75","TCGA-CG-5717-01A","High","B cells naive",0.124206380469542
"76","TCGA-D7-6518-01A","High","B cells naive",0.0703387941721008
"77","TCGA-D7-6521-01A","High","B cells naive",0.0988718871272865
"78","TCGA-D7-6524-01A","High","B cells naive",0.045327207080235
"79","TCGA-D7-6818-01A","High","B cells naive",0.0247640173773902
"80","TCGA-D7-8572-01A","High","B cells naive",0.0597356698915679
"81","TCGA-D7-8574-01A","High","B cells naive",0.00935777825330267
"82","TCGA-D7-8578-01A","High","B cells naive",0.104635045637705
"83","TCGA-D7-8579-01A","High","B cells naive",0.0145694818091134
"84","TCGA-D7-A4YV-01A","High","B cells naive",0.0379723049292308
"85","TCGA-D7-A6EY-01A","High","B cells naive",0.194490941861804
"86","TCGA-D7-A747-01A","High","B cells naive",0.155668993157265
"87","TCGA-D7-A748-01A","High","B cells naive",0.0238915849132644
"88","TCGA-FP-7916-01A","High","B cells naive",0.0814883035449809
"89","TCGA-FP-7998-01A","High","B cells naive",0.0484412135287262
"90","TCGA-FP-8209-01A","High","B cells naive",0.174075720455232
"91","TCGA-FP-8210-01A","High","B cells naive",0.0754793266957795
"92","TCGA-FP-A4BF-01A","High","B cells naive",0
"93","TCGA-HU-A4GJ-01A","High","B cells naive",0.157671251936428
"94","TCGA-IN-7808-01A","High","B cells naive",0.218035244714605
"95","TCGA-IN-8462-01A","High","B cells naive",0.0388559058817534
"96","TCGA-IN-8663-01A","High","B cells naive",0
"97","TCGA-IN-A6RJ-01A","High","B cells naive",0.0445026606312032
"98","TCGA-IN-A7NR-01A","High","B cells naive",0.0673172327669143
"99","TCGA-IN-A7NT-01A","High","B cells naive",0.00429755786281951
"100","TCGA-IN-A7NU-01A","High","B cells naive",0.0417975808705726
"101","TCGA-IN-AB1V-01A","High","B cells naive",0.0908222768707309
"102","TCGA-KB-A93G-01A","High","B cells naive",0.0417222148968337
"103","TCGA-MX-A5UG-01A","High","B cells naive",0.0684788252603493
"104","TCGA-MX-A663-01A","High","B cells naive",0.165456696559594
"105","TCGA-RD-A7BS-01A","High","B cells naive",0.0607188508323128
"106","TCGA-RD-A7BW-01A","High","B cells naive",0.050143039276681
"107","TCGA-RD-A8MW-01A","High","B cells naive",0.00820576292544098
"108","TCGA-RD-A8N0-01A","High","B cells naive",0.124634988389438
"109","TCGA-RD-A8N1-01A","High","B cells naive",0.0967687125668858
"110","TCGA-RD-A8N2-01A","High","B cells naive",0.120432348899214
"111","TCGA-RD-A8N4-01A","High","B cells naive",0.078468029008693
"112","TCGA-RD-A8N5-01A","High","B cells naive",0.00245717348314167
"113","TCGA-RD-A8N6-01A","High","B cells naive",0.0360544503958082
"114","TCGA-RD-A8N9-01A","High","B cells naive",0.0708294016416173
"115","TCGA-RD-A8NB-01A","High","B cells naive",0.104899410164904
"116","TCGA-VQ-A8DU-01A","High","B cells naive",0.0863813962966022
"117","TCGA-VQ-A8E2-01A","High","B cells naive",0.0603331076690342
"118","TCGA-VQ-A8PD-01A","High","B cells naive",0.105487911880803
"119","TCGA-VQ-A8PQ-01A","High","B cells naive",0.162506005285286
"120","TCGA-VQ-A91A-01A","High","B cells naive",0.00605891463027435
"121","TCGA-VQ-A91Q-01A","High","B cells naive",0.105436751316842
"122","TCGA-VQ-A91Y-01A","High","B cells naive",0.0200246858484533
"123","TCGA-VQ-A922-01A","High","B cells naive",0.13216630766884
"124","TCGA-VQ-A928-01A","High","B cells naive",0.0780998901825904
"125","TCGA-VQ-A94R-01A","High","B cells naive",0.098761512931722
"126","TCGA-VQ-AA64-01A","High","B cells naive",0.109638756006312
"127","TCGA-VQ-AA6K-01A","High","B cells naive",0.0691972152611299
"128","TCGA-B7-5816-01A","High","B cells memory",0
"129","TCGA-B7-A5TI-01A","High","B cells memory",0
"130","TCGA-B7-A5TK-01A","High","B cells memory",0
"131","TCGA-B7-A5TN-01A","High","B cells memory",0
"132","TCGA-BR-4187-01A","High","B cells memory",0
"133","TCGA-BR-4191-01A","High","B cells memory",0
"134","TCGA-BR-4201-01A","High","B cells memory",0.0157002882785079
"135","TCGA-BR-4255-01A","High","B cells memory",0
"136","TCGA-BR-4256-01A","High","B cells memory",0.0261437511829856
"137","TCGA-BR-4257-01A","High","B cells memory",0
"138","TCGA-BR-4279-01A","High","B cells memory",0
"139","TCGA-BR-6456-01A","High","B cells memory",0
"140","TCGA-BR-6457-01A","High","B cells memory",0
"141","TCGA-BR-6458-01A","High","B cells memory",0
"142","TCGA-BR-6563-01A","High","B cells memory",0
"143","TCGA-BR-6564-01A","High","B cells memory",0
"144","TCGA-BR-6705-01A","High","B cells memory",0
"145","TCGA-BR-6706-01A","High","B cells memory",0
"146","TCGA-BR-6709-01A","High","B cells memory",0
"147","TCGA-BR-6803-01A","High","B cells memory",0
"148","TCGA-BR-7196-01A","High","B cells memory",0.0148617500961725
"149","TCGA-BR-7722-01A","High","B cells memory",0
"150","TCGA-BR-7723-01A","High","B cells memory",0
"151","TCGA-BR-7901-01A","High","B cells memory",0
"152","TCGA-BR-7957-01A","High","B cells memory",0
