"","gene","cell","Correlation","Pvalue"
"1","GHR","ADORA2A",0.304428071211315,5.26557439254537e-09
"2","BGN","ADORA2A",0.143594795497428,0.00688511426981974
"3","FAP","ADORA2A",0.125548197379525,0.0182840803633245
"4","TIAM1","ADORA2A",0.334468319842747,1.12995767247552e-10
"5","KHK","ADORA2A",0.0784465028827168,0.141313860016354
"6","RS","ADORA2A",0.205854572323284,9.78986555979229e-05
"7","GHR","BTLA",0.406725406405813,1.70136363876226e-15
"8","BGN","BTLA",0.120105722204448,0.0240235162708063
"9","FAP","BTLA",0.179857071906981,0.000686417274155092
"10","TIAM1","BTLA",0.540415165697596,3.70617872680307e-28
"11","KHK","BTLA",0.0312179682212735,0.558820387730555
"12","RS","BTLA",0.333035447138654,1.37049821482652e-10
"13","GHR","BTN2A1",-0.0325985186397703,0.54155681576971
"14","BGN","BTN2A1",-0.0984859919110406,0.0645565723979021
"15","FAP","BTN2A1",-0.0190043708293281,0.721971319586914
"16","TIAM1","BTN2A1",0.100701518093944,0.0587437523949716
"17","KHK","BTN2A1",-0.0428099320668345,0.422645266393561
"18","RS","BTN2A1",0.00092182575242595,0.986230706276574
"19","GHR","BTN2A2",0.151207448322408,0.00440998201537197
"20","BGN","BTN2A2",0.139452120717425,0.00870044020325834
"21","FAP","BTN2A2",0.203499923306226,0.000118012323116227
"22","TIAM1","BTN2A2",0.311329613974126,2.2615087240157e-09
"23","KHK","BTN2A2",-0.0331064779747334,0.535272254392347
"24","RS","BTN2A2",0.221280723885516,2.73043332349751e-05
"25","GHR","BTN3A1",0.0547231619591146,0.305232703714425
"26","BGN","BTN3A1",0.0572339445736959,0.283543363858343
"27","FAP","BTN3A1",0.16611155469296,0.00173816371236499
"28","TIAM1","BTN3A1",0.280765312006677,8.10931997047969e-08
"29","KHK","BTN3A1",0.014838694804861,0.781150369580861
"30","RS","BTN3A1",0.12302403567048,0.0207775437707213
"31","GHR","BTNL3",-0.0529816166677333,0.320904513905211
"32","BGN","BTNL3",-0.125883881346833,0.0179729686240591
"33","FAP","BTNL3",-0.0981009798501929,0.0656133939912372
"34","TIAM1","BTNL3",-0.115755450258569,0.0296715051250688
"35","KHK","BTNL3",0.294362705767161,1.73722228810087e-08
"36","RS","BTNL3",-0.263299312610175,5.21521871077088e-07
"37","GHR","BTNL9",0.108322618138994,0.0419549060521112
"38","BGN","BTNL9",-0.0620864197261422,0.244633481448578
"39","FAP","BTNL9",-0.0517395505328769,0.332395847206113
"40","TIAM1","BTNL9",0.021853605491618,0.682404246297826
"41","KHK","BTNL9",0.0463658742756722,0.385113517342851
"42","RS","BTNL9",0.00216365775195659,0.967688686582506
"43","GHR","CD160",0.286968512951068,4.05620835070524e-08
"44","BGN","CD160",-0.0743383971048601,0.163418247516222
"45","FAP","CD160",-0.0426562383949144,0.424314136698278
"46","TIAM1","CD160",0.262816895894653,5.48020199854143e-07
"47","KHK","CD160",-0.0341808373536623,0.522101797559303
"48","RS","CD160",0.151849443541738,0.00424345997799412
"49","GHR","CD209",0.389695952858403,3.00207726082456e-14
"50","BGN","CD209",0.23475401759094,8.29491112747817e-06
"51","FAP","CD209",0.326861455909159,3.11239372531934e-10
"52","TIAM1","CD209",0.363180646399511,1.90580381330647e-12
"53","KHK","CD209",-0.0338080118235969,0.526653362538328
"54","RS","CD209",0.343268104181043,3.37863866970138e-11
"55","GHR","CD226",0.341047346951594,4.59859039019635e-11
"56","BGN","CD226",0.175088767392821,0.000954839857788853
"57","FAP","CD226",0.30484505868023,5.00654877810897e-09
"58","TIAM1","CD226",0.519389392800247,8.86897580120341e-26
"59","KHK","CD226",0.0107362506091366,0.840693748672234
"60","RS","CD226",0.339530562848214,5.66837393550502e-11
"61","GHR","CD27",0.346113543670147,2.2679989193004e-11
"62","BGN","CD27",0.202636069726748,0.000126319232290992
"63","FAP","CD27",0.203946391150145,0.000113922822399656
"64","TIAM1","CD27",0.44433830607437,1.63128762894642e-18
"65","KHK","CD27",0.0775528646612159,0.145916160671787
"66","RS","CD27",0.283681849533294,5.86732935370302e-08
"67","GHR","CD274",-0.0218028716978777,0.683101617284709
"68","BGN","CD274",0.127648339908521,0.0164124479217745
"69","FAP","CD274",0.325223296935672,3.85722450828775e-10
"70","TIAM1","CD274",0.290161114304888,2.82102872051395e-08
"71","KHK","CD274",0.0440887391948362,0.408908598115655
"72","RS","CD274",0.125717115926096,0.0181269448122812
"73","GHR","CD276",0.13379287325281,0.0118645982395713
"74","BGN","CD276",0.454880465479688,1.98143529072136e-19
"75","FAP","CD276",0.472960039371973,4.47753601526626e-21
"76","TIAM1","CD276",0.0539362331840615,0.31225040768293
"77","KHK","CD276",-0.0179645545833964,0.736604434703487
"78","RS","CD276",0.224563994727124,2.05596134658832e-05
"79","GHR","CD28",0.489186306799735,1.22547795039879e-22
"80","BGN","CD28",0.228704497632152,1.42888730333988e-05
"81","FAP","CD28",0.320431929635683,7.1718069193806e-10
"82","TIAM1","CD28",0.541449751159428,2.80228994540442e-28
"83","KHK","CD28",-0.01525459818382,0.775178420601673
"84","RS","CD28",0.426699423906545,4.73098500262118e-17
"85","GHR","CD40",0.307983774059605,3.41609337089765e-09
"86","BGN","CD40",0.27185209758312,2.13089359216262e-07
"87","FAP","CD40",0.260587372692256,6.88206835236447e-07
"88","TIAM1","CD40",0.315928377202271,1.27206249072314e-09
"89","KHK","CD40",-0.0167962447124261,0.753159783854583
"90","RS","CD40",0.296049271705871,1.42683590117012e-08
"91","GHR","CD40LG",0.356207672603432,5.33725879381066e-12
"92","BGN","CD40LG",0.132264044122722,0.0128775525209849
"93","FAP","CD40LG",0.132436469288385,0.0127596188579514
"94","TIAM1","CD40LG",0.427228704349612,4.28845330383507e-17
"95","KHK","CD40LG",0.0732801403118361,0.16951213278643
"96","RS","CD40LG",0.27054382899269,2.44848120749462e-07
"97","GHR","CD47",-0.161428287608407,0.0023487037790478
"98","BGN","CD47",-0.0939858444239776,0.0778202610084876
"99","FAP","CD47",0.00180327559145769,0.973068269577136
"100","TIAM1","CD47",0.0316384925239425,0.553533709533081
"101","KHK","CD47",-0.216596056555203,4.06320828262414e-05
"102","RS","CD47",0.0117856737539121,0.825361088511015
"103","GHR","CD70",0.010817204896565,0.83950873827588
