"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"ECM-receptor interaction","ECM-receptor interaction","ECM-receptor interaction",83,0.684585475310791,1.80718290136626,1e-10,1e-10,3.40350877192983e-09,4317,"tags=59%, list=20%, signal=47%","COL5A2/COL1A2/THBS2/COL6A3/COL5A1/COL3A1/FN1/COL1A1/COL11A1/ITGA11/COL5A3/COL6A1/THBS1/COL6A2/ITGAV/ITGB5/LAMB1/ITGB1/COL4A1/THBS3/LAMA4/LAMA2/COL4A2/LAMC2/SDC2/VWF/ITGA4/LAMB2/HSPG2/ITGA5/LAMC1/LAMC3/TNC/ITGB8/ITGB3/IBSP/THBS4/AGRN/COL4A4/TNN/ITGB4/ITGA1/SV2A/COL6A6/LAMB3/ITGA3/SDC3/ITGA2/ITGA6"
"Focal adhesion","Focal adhesion","Focal adhesion",199,0.620847368848238,1.70346048476074,1e-10,1e-10,3.40350877192983e-09,5046,"tags=57%, list=24%, signal=44%","COL5A2/COL1A2/THBS2/COL6A3/COL5A1/COL3A1/PDGFRB/FN1/COL1A1/COL11A1/ITGA11/COL5A3/COL6A1/THBS1/VEGFC/COL6A2/ITGAV/ITGB5/LAMB1/PDGFC/PDGFB/PDGFRA/ITGB1/COL4A1/THBS3/LAMA4/LAMA2/COL4A2/SHC1/FLT4/HGF/LAMC2/MAPK9/FYN/CAV1/AKT3/VWF/PGF/KDR/ITGA4/SHC3/IGF1/PIK3R5/FLT1/LAMB2/ITGA5/ZYX/ELK1/LAMC1/PXN/RAPGEF1/PIK3CA/DOCK1/PTEN/LAMC3/PAK2/TNC/MAPK1/ITGB8/BIRC2/MYL12A/RHOA/SOS1/VEGFB/ITGB3/RAP1B/PARVA/IBSP/CRK/CAPN2/PDGFD/THBS4/GRB2/GSK3B/PIK3R1/SHC4/BCAR1/MAP2K1/BRAF/MAPK8/COL4A4/CAV2/ACTN1/TNN/ITGB4/ITGA1/ARHGAP5/ACTB/PDGFA/VCL/PARVG/SOS2/COL6A6/ARHGAP35/LAMB3/ITGA3/ROCK2/PDPK1/VAV2/ITGA2/PARVB/ITGA6/PIP5K1C/CRKL/CDC42/PIK3CD/LAMA3/ROCK1/RAF1/TLN1/PIK3R3/AKT2/SPP1"
"Pathways in cancer","Pathways in cancer","Pathways in cancer",323,0.529834642822133,1.46995517201741,1e-10,1e-10,3.40350877192983e-09,5820,"tags=49%, list=27%, signal=36%","MMP2/PDGFRB/FN1/WNT2/VEGFC/FZD1/ITGAV/TGFB1/LAMB1/PDGFB/RUNX1/TGFB3/PDGFRA/ITGB1/HIF1A/COL4A1/GLI2/WNT5A/LAMA4/LAMA2/CSF1R/GLI1/COL4A2/FGF7/ETS1/FGF1/GLI3/FOXO1/EPAS1/SUFU/HGF/LAMC2/MAPK9/FZD4/AKT3/CSF3R/PML/IL6/TGFBR1/PGF/SPI1/CSF2RA/IGF1/PIK3R5/STAT3/LAMB2/SMAD2/LAMC1/ARNT/JAK1/PIK3CA/PTEN/NFKB1/LAMC3/FAS/CBL/FZD8/STAT5A/DAPK3/MAPK1/LEF1/BIRC2/RHOA/WNT2B/SOS1/CXCL8/VEGFB/NFKBIA/TRAF3/RUNX1T1/IKBKG/CRK/STAT5B/ABL1/RARB/GRB2/APC/MMP1/MITF/GSK3B/PIK3R1/MAP2K1/CREBBP/TGFBR2/BRAF/MAX/MAPK8/STAT1/COL4A4/NRAS/FZD6/RALB/CBLB/SMO/RELA/SMAD4/MMP9/FGFR1/TGFA/MSH6/PDGFA/FGF5/TRAF6/SOS2/CDK2/FZD2/RB1/PIAS1/NTRK1/NCOA4/MSH3/LAMB3/ITGA3/EP300/PTGS2/DVL3/TGFB2/ITGA2/PIAS3/PLCG1/ITGA6/CUL2/CTBP1/TRAF1/BCR/CRKL/CDC42/CHUK/STK4/WNT7B/PIK3CD/WNT10A/LAMA3/NFKB2/RAF1/WNT9B/FZD7/PIK3R3/AKT2/KIT/EGLN3/PAX8/AR/DAPK1/RBX1/PTK2/CTNNA1/RASSF1/TFG/PTCH2/APPL1/RAC1/BCL2/IKBKB/TP53/MAPK10/MTOR"
"Regulation of actin cytoskeleton","Regulation of actin cytoskeleton","Regulation of actin cytoskeleton",212,0.549359522911748,1.51184264692518,1.8516019183171e-10,1.8516019183171e-10,4.72645752833575e-09,4766,"tags=44%, list=22%, signal=35%","PDGFRB/FN1/ITGA11/SSH1/ITGAV/ITGB5/F2R/PDGFC/PDGFB/CD14/PDGFRA/ITGB1/MSN/GNA12/MRAS/FGF7/MYH10/MYH9/ITGAX/FGF1/ITGA4/PIK3R5/LIMK1/PIP4K2A/ITGA5/ITGAM/PXN/GNA13/ARHGEF12/PIK3CA/DOCK1/ITGB2/PAK2/ARHGEF6/CYFIP1/LIMK2/MAPK1/ITGB8/MYL12A/RHOA/SOS1/RDX/ITGB3/ABI2/FGD1/GNG12/CRK/PDGFD/ARPC5/APC/DIAPH2/PIK3R1/BCAR1/MAP2K1/PIKFYVE/BRAF/RRAS2/NRAS/ARPC2/IQGAP1/ACTN1/ITGB4/BDKRB1/FGFR1/SSH2/ITGA1/NCKAP1L/ACTB/PDGFA/FGF5/VCL/SOS2/BDKRB2/WASF2/ARHGAP35/PIP4K2B/ITGA3/ENAH/ROCK2/VAV2/ITGA2/ARHGEF7/ITGA6/FGD3/PIP5K1C/PIP5K1A/CRKL/CDC42/TMSB4X/PIK3CD/BRK1/GIT1/ROCK1/RAF1"
"Complement and coagulation cascades","Complement and coagulation cascades","Complement and coagulation cascades",69,0.671202203060909,1.75447225543378,1.26471233769251e-09,1.26471233769251e-09,2.50416239674404e-08,1840,"tags=32%, list=9%, signal=29%","C1S/SERPINE1/C1R/SERPING1/PLAU/C3AR1/F2R/C5AR1/A2M/CFH/PLAT/C1QC/PLAUR/VWF/F13A1/C1QB/C3/C1QA/CD59/C4A/C4B/F8"
"Cytokine-cytokine receptor interaction","Cytokine-cytokine receptor interaction","Cytokine-cytokine receptor interaction",261,0.526621540497835,1.45564189152205,1.47151810942691e-09,1.47151810942691e-09,2.50416239674404e-08,5125,"tags=38%, list=24%, signal=29%","PDGFRB/INHBA/IL1R1/VEGFC/TNFSF4/TGFB1/PDGFC/PDGFB/PLEKHO2/TGFB3/PDGFRA/BMPR2/CSF1R/ACVRL1/CCR1/FLT4/IFNK/IL6ST/CCL13/CCL4/HGF/CCL3/OSMR/CCL8/IL11/IL24/TNFSF13B/CCR8/CCL4L2/CSF3R/IL6/TGFBR1/IL7R/IFNAR1/CSF2RA/KDR/FLT1/IL2RA/IL4R/CXCL6/IL3RA/IL17RA/EDA2R/TNFRSF4/CCR2/IL15/CCL11/FAS/IL1RAP/LIF/TNFRSF12A/IL18RAP/TNFRSF1A/CXCL8/VEGFB/LEPR/TNFRSF9/RELT/CCL2/CCL7/CCR5/CCL18/TGFBR2/OSM/TNFSF8/CXCL12/CXCR1/TNFSF14/ACVR2A/PDGFA/IL9R/IL5RA/NGFR/TNFSF11/ACVR1/CSF3/IFNAR2/CCR3/TGFB2/IL13RA1/CXCL1/IL18/TNFRSF10C/TNFSF18/IL2RB/IL15RA/TNFRSF1B/IFNGR1/IL10RA/IFNB1/IL18R1/IFNGR2/CXCL16/CXCR4/GHR/CSF2/TNFRSF10D/KIT/CCR4/TNFRSF10B"
"Neurotrophin signaling pathway","Neurotrophin signaling pathway","Neurotrophin signaling pathway",126,0.574248013284666,1.545446892658,6.23964372929492e-08,6.23964372929492e-08,9.10143521415951e-07,6394,"tags=66%, list=30%, signal=46%","SHC1/SH2B3/MAP3K3/MAPK9/AKT3/SHC3/PIK3R5/YWHAH/RPS6KA2/YWHAQ/KIDINS220/RAPGEF1/PIK3CA/MAPK11/NFKB1/YWHAG/MAPKAPK2/MAPK1/RHOA/SOS1/NFKBIA/RAP1B/CRK/PTPN11/ABL1/MAP2K5/GRB2/GSK3B/PIK3R1/SHC4/MAPK14/MAP2K1/RIPK2/IRS1/BRAF/MAPK8/MAPK7/NRAS/NGF/MAP3K5/RELA/MAGED1/TRAF6/NGFR/SOS2/IRAK4/RPS6KA3/RPS6KA4/NTRK1/PSEN1/FOXO3/PDPK1/PLCG1/GAB1/NTRK3/CRKL/CDC42/ARHGDIB/PIK3CD/RAF1/PIK3R3/AKT2/TP73/PRDM4/SHC2/FRS2/MAP2K7/CALM2/RAC1/BCL2/IKBKB/TP53/MAPK10/ATF4/IRAK3/ARHGDIA/IRAK1/CAMK4/AKT1/IRS2/YWHAE/IRAK2/NTF4"
"Chemokine signaling pathway","Chemokine signaling pathway","Chemokine signaling pathway",186,0.526230112944755,1.43980319010431,2.26639952704309e-07,2.26639952704309e-07,2.89264150162079e-06,5700,"tags=49%, list=27%, signal=36%","STAT2/GNAI2/GNB4/HCK/CCR1/SHC1/FGR/CCL13/CCL4/CCL3/CCL8/CCR8/AKT3/CCL4L2/GNG11/SHC3/PIK3R5/ADCY3/STAT3/GNB5/CXCL6/GRK4/PXN/PREX1/PIK3CA/ADCY7/NFKB1/ADCY4/GNB1/CCR2/CCL11/MAPK1/RHOA/SOS1/CXCL8/NFKBIA/RAP1B/IKBKG/CCL2/GNG12/CRK/CCL7/STAT5B/GRB2/ADCY9/CCR5/GNGT2/GSK3B/PIK3R1/SHC4/BCAR1/CCL18/MAP2K1/GNAI3/BRAF/STAT1/NRAS/RELA/CXCL12/PLCB2/CXCR1/GNG2/SOS2/PRKACA/CCR3/FOXO3/ARRB2/ROCK2/CXCL1/GRK3/VAV2/CRKL/CDC42/CHUK/GNAI1/PIK3CD/DOCK2/CXCL16/CXCR4/ROCK1/RAF1/PIK3R3/AKT2/CCR4/JAK3/PTK2/CCL22/SHC2/WASL/RAC1/IKBKB"
"TGF-beta signaling pathway","TGF-beta signaling pathway","TGF-beta signaling pathway",85,0.596583224535534,1.57746147054239,7.70542293221527e-07,7.70542293221527e-07,8.74182484707464e-06,4073,"tags=47%, list=19%, signal=38%","THBS2/INHBA/BMP8A/THBS1/TGFB1/DCN/TGFB3/BMPR2/THBS3/ACVRL1/LTBP1/SMURF2/ZFYVE16/SMAD5/SMAD1/TGFBR1/GDF6/SMAD2/SMAD7/MAPK1/RHOA/RBL2/RPS6KB1/THBS4/CUL1/ZFYVE9/SP1/CREBBP/TGFBR2/SKP1/SMAD4/BMP6/ACVR2A/ID4/PPP2CA/ACVR1/ID3/EP300/ROCK2/TGFB2"
"Toll-like receptor signaling pathway","Toll-like receptor signaling pathway","Toll-like receptor signaling pathway",102,0.559995044506105,1.4916752208767,4.52792460244857e-06,4.52792460244857e-06,4.62324933092117e-05,6298,"tags=60%, list=29%, signal=42%","CTSK/CD86/TLR2/CD14/TLR4/TLR1/CCL4/CCL3/MAPK9/LY96/AKT3/IL6/TLR6/TLR7/IFNAR1/PIK3R5/CD80/TLR8/PIK3CA/MAP3K7/MAPK11/NFKB1/MAPK1/CXCL8/NFKBIA/TRAF3/TAB2/IKBKG/RIPK1/PIK3R1/MAPK14/MAP2K1/MAPK8/STAT1/IRF5/RELA/TRAF6/TICAM2/IRAK4/TBK1/IFNAR2/MAP2K4/IRF7/CHUK/IFNB1/TIRAP/PIK3CD/PIK3R3/AKT2/SPP1/MAP3K8/MYD88/MAP2K7/RAC1/IKBKB/MAPK10/CD40/IRAK1/AKT1/IL1B/TLR5"
