"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"Proteasome","Proteasome","Proteasome",43,-0.728321660232847,-3.01471390500867,1e-10,1e-10,3.82993832000815e-09,5176,"tags=79%, list=24%, signal=60%","PSME4/PSMD8/PSMF1/PSMC6/IFNG/PSMC2/PSMD12/PSMB1/PSMD1/PSMA2/PSMD2/PSMA6/PSMB5/PSMB4/PSMD3/PSMA1/PSME1/PSMD13/PSMC4/PSMD11/POMP/PSMB7/PSMA3/PSME3/PSMA7/PSMB2/PSMA4/PSMB10/PSMB9/PSMD14/PSMA5/PSMB3/PSMB8/PSME2"
"Focal adhesion","Focal adhesion","Focal adhesion",199,0.629892085471024,1.68294797683937,1e-10,1e-10,3.82993832000815e-09,4572,"tags=49%, list=21%, signal=39%","MAPK10/AKT3/PARVA/TNXB/FLNA/ITGA7/LAMA4/MYL9/PIP5K1C/MYLK/TLN1/ITGA1/RAP1A/ITGA9/COL6A2/FLNC/PPP1R12A/ACTN1/VCL/PRKCB/LAMA2/ILK/LAMB2/THBS3/COL6A1/BCL2/PDGFD/VEGFB/ACTN2/IGF1/TNC/VEGFC/JUN/PDGFC/COL4A2/CAV1/ZYX/PIK3R1/LAMC1/PPP1CB/PDGFRA/ITGB3/COL4A6/ITGA5/THBS1/COL6A3/COL3A1/SHC4/FYN/ITGB1/VWF/ACTB/SHC2/HGF/FN1/THBS4/COL5A1/COL1A2/PDGFRB/ITGA8/COL6A6/COL1A1/TNN/PTEN/FLT4/ITGAV/PRKCA/ROCK1/DOCK1/RAPGEF1/SOS2/COL4A1/ARHGAP35/SOS1/COL5A2/PIK3CA/BRAF/THBS2/CCND2/SHC3/PIK3R3/VEGFD/CAV2/MYLK3/PIK3CD/RAF1/AKT2/KDR/ARHGAP5/LAMB1/COL4A4/PARVB/TNR/LAMA5/ITGB5/MAPK1/FLT1/CAV3"
"Calcium signaling pathway","Calcium signaling pathway","Calcium signaling pathway",177,0.620036867138018,1.65346519314838,1e-10,1e-10,3.82993832000815e-09,3330,"tags=37%, list=16%, signal=31%","TRPC1/CACNA1H/ATP2B4/CHRM2/PLN/PLCD4/CAMK2A/PTGER3/PDE1B/MYLK/PDE1A/SLC8A1/RYR3/TACR2/CACNA1C/ITPKB/GRPR/EDNRA/HTR2A/AGTR1/ITPR1/SLC25A4/PDE1C/BDKRB1/PRKCB/NOS1/ADCY9/RYR2/AVPR1A/SLC8A2/ADRA1A/CAMK2G/GNAL/ADRB3/CALM1/HTR7/TBXA2R/PRKACB/PPP3CB/ADCY2/GRIN2A/LHCGR/PRKACA/PDGFRA/CYSLTR1/ADRB2/PTGFR/ADCY4/GNA14/PHKG1/PLCB1/PDGFRB/SLC8A3/P2RX7/ADRA1D/TACR1/PRKCA/GNAQ/CCKAR/PLCD1/PPP3CC/ATP2B2/EDNRB/CAMK4/PLCE1"
"Vascular smooth muscle contraction","Vascular smooth muscle contraction","Vascular smooth muscle contraction",112,0.66601268884774,1.76327573237591,1.38690100885719e-10,1.38690100885719e-10,3.82993832000815e-09,3751,"tags=45%, list=18%, signal=37%","NPR1/NPR2/PRKG1/MYH11/KCNMA1/CALD1/ADCY5/MYL9/ACTA2/MYLK/KCNMB1/PPP1R12B/CACNA1C/PPP1R12A/PPP1R14A/EDNRA/AGTR1/ITPR1/PLA2G2C/PRKCB/ACTG2/ADCY9/MYL6/AVPR1A/ADRA1A/CALM1/PTGIR/PRKACB/ADCY2/RAMP2/PRKACA/PPP1CB/ADCY4/RAMP3/RAMP1/GUCY1A2/PRKCE/PLCB1/PLA2G5/GNA12/ADRA1D/PRKCA/ROCK1/GNAQ/PLA2G12A/CALCRL/PRKCH/KCNMB2/BRAF/KCNMB4"
"DNA replication","DNA replication","DNA replication",36,-0.743367222455801,-2.84705547725333,1.62430419821774e-10,1.62430419821774e-10,3.82993832000815e-09,2365,"tags=72%, list=11%, signal=64%","POLD3/POLD1/RFC5/POLE/MCM6/POLE3/SSBP1/PRIM2/PRIM1/RFC3/RNASEH2A/RFC2/POLA2/MCM5/MCM7/MCM3/LIG1/RPA3/POLD2/MCM2/DNA2/PCNA/POLE2/MCM4/RFC4/FEN1"
"Neuroactive ligand-receptor interaction","Neuroactive ligand-receptor interaction","Neuroactive ligand-receptor interaction",272,0.559318564756955,1.50727256561825,3.56663996771853e-09,3.56663996771853e-09,7.00813467341186e-08,3759,"tags=28%, list=18%, signal=23%","GHR/CHRM2/ADCYAP1R1/GRIK5/PTH1R/PTGER3/GLP2R/GALR1/LEPR/GLRB/TACR2/GRPR/S1PR3/GRIK2/EDNRA/HTR2A/AGTR1/LPAR1/NR3C1/BDKRB1/LPAR4/S1PR1/P2RY14/HCRTR1/CHRNA3/AVPR1A/NMBR/ADRA1A/VIPR2/ADRB3/MLNR/PTGIR/HTR7/GABBR1/CHRNB4/TBXA2R/NMUR1/CNR1/GRIK3/GRIN2A/LHCGR/GRID1/CYSLTR1/TSHB/GRIA2/GRIA1/THRB/ADRB2/PTGFR/NPY2R/GABRA5/GRM6/GRID2/GRM7/AVPR2/LEP/FSHR/P2RX7/ADRA1D/TACR1/CCKAR/PTGDR/APLNR/GRIA3/OPRM1/EDNRB/CALCRL/HTR1F/GHSR/PTGER1/AGTR2/CHRM3/PARD3/CHRM4/ADORA3/GPR156"
"MAPK signaling pathway","MAPK signaling pathway","MAPK signaling pathway",266,0.55055692326217,1.48277523884113,1.59653691691194e-08,1.59653691691194e-08,2.63638553591023e-07,4579,"tags=35%, list=21%, signal=28%","MAPK10/AKT3/CACNA1H/NFATC4/FGF2/CACNB2/FLNA/RAP1A/CACNA1C/FLNC/MAP3K3/FGFR1/CACNA2D3/PLA2G2C/FGF10/PRKCB/FGF1/DUSP1/MAP3K12/SRF/MRAS/FGF7/HSPA2/DUSP3/RPS6KA5/MAPT/PTPN5/GADD45B/NGF/IL1R1/PRKACB/TGFB3/PPP3CB/CACNA2D1/FGF14/MEF2C/RRAS/JUN/PPM1A/PRKACA/RASGRF2/PDGFRA/RASGRP2/TAB2/RPS6KA2/ARRB1/FGF5/TGFBR2/FGF13/FOS/NR4A1/FGF16/GNG12/NTRK1/PDGFRB/RPS6KA6/RASGRP4/MAP3K14/TGFBR1/PLA2G5/JUND/GNA12/TGFB2/PRKCA/GADD45G/CACNG7/PLA2G12A/HSPB1/PPP3CC/TGFB1/MAP2K5/SOS2/MAPK11/SOS1/HSPA1L/MAPK8IP1/MAPK7/MAPK14/BRAF/RAPGEF2/TAOK1/TNFRSF1A/MAP3K6/RAF1/AKT2/MAP2K7/ATF4/MKNK1/ATF2/DUSP8/MAPK1/CACNA1A"
"Dilated cardiomyopathy","Dilated cardiomyopathy","Dilated cardiomyopathy",90,0.66673191132083,1.75141726187562,1.78897589936766e-08,1.78897589936766e-08,2.63638553591023e-07,3164,"tags=41%, list=15%, signal=35%","CACNB2/PLN/DMD/ITGA7/ADCY5/TPM1/ITGA1/ITGA9/SLC8A1/CACNA1C/TPM2/SGCA/CACNA2D3/DES/LAMA2/SGCD/ADCY9/RYR2/SGCB/PRKACB/TGFB3/CACNA2D1/ADCY2/IGF1/SGCG/PRKACA/ITGB3/ACTC1/ADCY4/ITGA5/ITGB1/ACTB/ITGA8/TGFB2/ITGAV/CACNG7/TGFB1"
"Hypertrophic cardiomyopathy (HCM)","Hypertrophic cardiomyopathy (HCM)","Hypertrophic cardiomyopathy (HCM)",83,0.667238143430162,1.74523542869553,4.81741489939404e-08,4.81741489939404e-08,6.31053179803664e-07,3164,"tags=41%, list=15%, signal=35%","CACNB2/DMD/ITGA7/TPM1/ITGA1/ITGA9/SLC8A1/CACNA1C/TPM2/SGCA/CACNA2D3/DES/PRKAA2/LAMA2/SGCD/RYR2/SGCB/TGFB3/CACNA2D1/IGF1/SGCG/ITGB3/ACTC1/ITGA5/PRKAG2/ITGB1/ACTB/IL6/ITGA8/PRKAB2/TGFB2/ITGAV/CACNG7/TGFB1"
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)","Arrhythmogenic right ventricular cardiomyopathy (ARVC)","Arrhythmogenic right ventricular cardiomyopathy (ARVC)",74,0.670601618711428,1.73829150224102,1.33195813339159e-07,1.33195813339159e-07,1.57030853620903e-06,2964,"tags=38%, list=14%, signal=33%","CACNB2/DMD/CTNNA3/ITGA7/ITGA1/ITGA9/SLC8A1/CACNA1C/SGCA/ACTN1/CACNA2D3/DES/TCF7L1/LAMA2/SGCD/RYR2/SGCB/ACTN2/CACNA2D1/SGCG/GJA1/ITGB3/ITGA5/ITGB1/ACTB/ITGA8/ITGAV/CACNG7"
