"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"Drug metabolism - cytochrome P450","Drug metabolism - cytochrome P450","Drug metabolism - cytochrome P450",71,0.848166950577475,2.43263300242383,1e-10,1e-10,1.95417911275904e-09,1255,"tags=44%, list=6%, signal=41%","CYP3A4/UGT1A5/UGT1A1/CYP2D6/GSTA1/UGT1A4/GSTA2/CYP2C9/UGT2B17/UGT2B7/MAOA/UGT1A3/CYP2C19/UGT2A3/ADH4/CYP2C18/FMO5/ADH6/GSTM4/UGT1A10/FMO4/GSTA5/GSTK1/MGST3/MAOB/GSTZ1/GSTO1/MGST2/UGT1A8/CYP3A5/ADH1C"
"Metabolism of xenobiotics by cytochrome P450","Metabolism of xenobiotics by cytochrome P450","Metabolism of xenobiotics by cytochrome P450",69,0.848032895792072,2.41609645783106,1e-10,1e-10,1.95417911275904e-09,1255,"tags=45%, list=6%, signal=42%","CYP3A4/UGT1A5/DHDH/UGT1A1/GSTA1/UGT1A4/GSTA2/CYP2C9/UGT2B17/UGT2B7/UGT1A3/CYP2C19/UGT2A3/ADH4/CYP2C18/ADH6/GSTM4/UGT1A10/GSTA5/GSTK1/AKR1C3/MGST3/CYP1A1/CYP2S1/GSTZ1/GSTO1/MGST2/UGT1A8/AKR1C1/CYP3A5/ADH1C"
"Retinol metabolism","Retinol metabolism","Retinol metabolism",64,0.840849670160324,2.37426747556131,1e-10,1e-10,1.95417911275904e-09,1255,"tags=39%, list=6%, signal=37%","CYP3A4/BCO1/UGT1A5/DGAT1/UGT1A1/UGT1A4/CYP2C9/UGT2B17/UGT2B7/UGT1A3/CYP2C19/UGT2A3/ADH4/CYP2C18/RDH5/RETSAT/DHRS4/ADH6/UGT1A10/DHRS4L2/LRAT/CYP1A1/UGT1A8/CYP3A5/ADH1C"
"Drug metabolism - other enzymes","Drug metabolism - other enzymes","Drug metabolism - other enzymes",51,0.843036444113741,2.32709316796646,1e-10,1e-10,1.95417911275904e-09,1228,"tags=33%, list=6%, signal=31%","CYP3A4/UGT1A5/CES2/UGT1A1/XDH/UGT1A4/NAT2/UGT2B17/UGT2B7/UGT1A3/UGT2A3/UGT1A10/TPMT/UGT1A8/NAT1/CYP3A5/CDA"
"Peroxisome","Peroxisome","Peroxisome",78,0.797074743676467,2.28591085587094,1e-10,1e-10,1.95417911275904e-09,2258,"tags=58%, list=11%, signal=52%","XDH/ACSL5/EPHX2/PECR/ACAA1/ACOX2/PEX11G/DHRS4/PEX26/HACL1/ACOT8/CRAT/ACOX1/PHYH/GSTK1/CROT/SCP2/PXMP2/ABCD4/SLC27A2/CAT/ACSL6/NOS2/PIPOX/HMGCL/PAOX/SOD1/EHHADH/DDO/HSD17B4/IDH1/ECI2/PEX14/ABCD1/MLYCD/ABCD3/PEX11A/ACOX3/PXMP4/IDH2/PRDX5/PEX6/DECR2/AGXT/MPV17L"
"Parkinson's disease","Parkinson's disease","Parkinson's disease",112,0.730893478278735,2.16089922844696,1e-10,1e-10,1.95417911275904e-09,3254,"tags=61%, list=15%, signal=52%","SLC25A5/UQCRC1/PINK1/SDHB/COX4I1/NDUFS7/NDUFS3/UQCRC2/COX5A/UBA7/NDUFS2/NDUFV1/NDUFB10/COX6B1/SLC25A6/CASP3/SDHD/COX5B/SDHC/UQCRQ/COX8A/CYC1/UBE2J1/NDUFS1/COX6A1/UQCRHL/SDHA/NDUFA1/VDAC1/NDUFB7/NDUFA10/UQCR10/HTRA2/PPID/COX7A2L/NDUFA2/NDUFA3/UBB/NDUFB3/COX7C/NDUFA6/NDUFV3/UQCR11/VDAC2/NDUFS4/MT-CO2/NDUFA8/NDUFB2/MT-ND6/UBE2L3/COX7B/CASP9/UBE2J2/UQCRH/MT-CO1/NDUFB9/NDUFC2/NDUFA9/NDUFB6/NDUFAB1/VDAC3/MT-ATP8/MT-ND3/NDUFS8/NDUFB8/NDUFC1/COX7A2/MT-CO3"
"PPAR signaling pathway","PPAR signaling pathway","PPAR signaling pathway",69,0.788991464447665,2.24788388748819,1.09204126889476e-10,1.09204126889476e-10,1.95417911275904e-09,1053,"tags=35%, list=5%, signal=33%","PCK2/FABP2/FABP1/APOC3/PCK1/AQP7/APOA1/ACSL5/CD36/SLC27A4/ACAA1/CYP27A1/ACOX2/GK/NR1H3/ACOX1/ACADM/SCP2/CPT2/SLC27A2/ACSL6/PPARA/CPT1A/EHHADH"
"Starch and sucrose metabolism","Starch and sucrose metabolism","Starch and sucrose metabolism",50,0.813329416227527,2.24628496753943,1.72727805738767e-09,1.72727805738767e-09,2.70455380038333e-08,1067,"tags=30%, list=5%, signal=29%","TREH/SI/MGAM/UGT1A5/ENPP3/UGT1A1/UGT1A4/UGT2B17/UGT2B7/UGT1A3/UGT2A3/UGT1A10/PGM1/UGT1A8/AMY2A"
"Citrate cycle (TCA cycle)","Citrate cycle (TCA cycle)","Citrate cycle (TCA cycle)",30,0.867016879164299,2.17516593141295,6.49899295698571e-09,6.49899295698571e-09,9.0453820103076e-08,2601,"tags=83%, list=12%, signal=73%","PCK2/PCK1/SUCLG1/ACO2/OGDH/SDHB/PC/IDH3A/SUCLG2/DLST/IDH3G/ACO1/SDHD/SDHC/IDH3B/IDH1/SDHA/SUCLA2/MDH1/FH/MDH2/IDH2/CS/PDHA1/DLD"
"Fatty acid metabolism","Fatty acid metabolism","Fatty acid metabolism",42,0.821433630013701,2.21504472776265,1.12593173300747e-08,1.12593173300747e-08,1.4103776445041e-07,1717,"tags=60%, list=8%, signal=55%","ACSL5/ACADS/ACAA1/HADHA/HADHB/ADH4/ACADSB/HADH/ADH6/ACOX1/ACADM/CPT2/ECHS1/ACADVL/ACSL6/ACAT1/ECI1/CPT1A/EHHADH/ALDH2/ADH1C/ECI2/ACAA2/GCDH/ALDH3A2"
