"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"Proteasome","Proteasome","Proteasome",43,-0.618323980407167,-2.6906103663317,2.54901192248341e-09,2.54901192248341e-09,3.78327032705433e-07,3800,"tags=60%, list=18%, signal=50%","PSMD14/PSMD4/PSMD3/PSMF1/PSMC3/PSMD13/PSMB7/PSMB2/PSMA6/PSMC2/PSMC4/PSMA3/PSMB5/PSMB1/PSMA5/POMP/PSMA1/PSME1/PSMA4/PSMA7/PSMB4/PSMB9/PSMB3/PSMB8/PSME2/PSMB10"
"N-Glycan biosynthesis","N-Glycan biosynthesis","N-Glycan biosynthesis",46,-0.410101527113439,-1.89489487985376,0.000368007114377168,0.000368007114377168,0.0273100016458845,2295,"tags=39%, list=11%, signal=35%","ALG5/STT3A/MOGS/DDOST/DPM1/FUT8/DPAGT1/ALG14/DAD1/MGAT3/RPN2/RPN1/ALG8/DPM2/MGAT4B/DPM3/ALG3/ALG1"
"GnRH signaling pathway","GnRH signaling pathway","GnRH signaling pathway",101,0.579226749948688,1.41134288988376,0.000590749021584325,0.000590749021584325,0.0281415378556708,4093,"tags=37%, list=19%, signal=30%","CALML3/PLD2/GNRHR/MAP3K4/PLD1/MAPK7/JMJD7-PLA2G4B/PLA2G4B/MAP2K4/MAP3K1/ADCY7/GNRH2/ADCY1/CGA/RAF1/SOS2/ITPR1/MAP2K1/MAP3K3/ADCY2/ITPR2/PLA2G3/MAPK13/PRKX/SOS1/MAPK1/CAMK2D/HRAS/MAPK14/CALM1/MAPK10/ADCY9/PLA2G12A/GNRH1/PRKACB/GNAQ/PLA2G4E"
"Neurotrophin signaling pathway","Neurotrophin signaling pathway","Neurotrophin signaling pathway",126,0.557027679092339,1.3642448085068,0.000828876325615112,0.000828876325615112,0.0281415378556708,4986,"tags=45%, list=23%, signal=35%","CALML3/MAPK7/GAB1/SORT1/IRAK4/NTF4/MAP3K1/TP73/RAF1/RPS6KA6/SOS2/PRDM4/BCL2/MAP2K1/MAP3K3/ZNF274/BRAF/PIK3CD/TRAF6/MAPK13/KIDINS220/SOS1/AKT2/MAPK1/IRS2/FOXO3/CSK/MAP3K5/CAMK2D/NTF3/CAMK4/PIK3CA/HRAS/IKBKB/CRKL/MAPK14/RPS6KA5/NTRK3/CALM1/AKT3/PIK3R1/NGFR/PLCG2/MAPK10/RAPGEF1/PIK3R5/RPS6KA2/MAPK3/PTPN11/ABL1/PDPK1/MAP2K7/YWHAQ/YWHAZ/GSK3B/NFKB1/NFKBIA"
"Endocytosis","Endocytosis","Endocytosis",181,0.533006613526477,1.31724980475318,0.00094803053059884,0.00094803053059884,0.0281415378556708,4610,"tags=34%, list=22%, signal=27%","EHD3/CXCR2/PARD6G/PLD2/SH3GL3/EPN2/SH3GL1/PARD3/ASAP3/ADRB2/VPS4B/PLD1/EEA1/ARAP2/HSPA2/ARF6/ACAP2/RAB11A/PSD3/FGFR3/ACAP3/SH3GLB1/ITCH/RAB5B/CLTB/ASAP1/PDCD6IP/RAB5A/EPS15/RBSN/TRAF6/SH3GL2/DNAJC6/CLTCL1/KIT/RUFY1/WWP1/GRK4/AP2A1/VPS37B/RABEP1/PIKFYVE/HRAS/RAB11FIP5/CBL/GIT2/STAMBP/VPS36/GRK3/IQSEC1/STAM/DNM1L/SH3GLB2/SMAP1/EHD2/EPN3/USP8/EHD4/PIP5K1C/HGS/ARAP1/STAM2"
"Insulin signaling pathway","Insulin signaling pathway","Insulin signaling pathway",136,0.552599198885362,1.35500584426301,0.00205341370035767,0.00205341370035767,0.0483282807310618,4497,"tags=40%, list=21%, signal=32%","CALML3/GYS2/PPP1R3C/HK1/TRIP10/MKNK2/PYGL/PPP1CB/EXOC7/RAF1/SOS2/MAP2K1/TSC2/BRAF/PIK3CD/GYS1/RPS6KB1/PPP1R3D/PRKX/SOS1/PRKAA2/PHKB/AKT2/MAPK1/IRS2/RPS6KB2/FOXO1/MKNK1/PTPRF/PIK3CA/HRAS/IKBKB/CRKL/TSC1/MTOR/CBL/PHKA1/PRKAR1A/CALM1/INPP5K/PRKAR2A/ACACA/AKT3/PIK3R1/MAPK10/PRKACB/RAPGEF1/SOCS4/PIK3R5/PTPN1/MAPK3/PRKAR2B/PRKAB1/PDPK1"
"Maturity onset diabetes of the young","Maturity onset diabetes of the young","Maturity onset diabetes of the young",25,-0.514088323817694,-2.1328770719544,0.00227931253093305,0.00227931253093305,0.0483282807310618,939,"tags=60%, list=4%, signal=57%","PAX6/IAPP/FOXA2/PKLR/NEUROG3/SLC2A2/HHEX/NR5A2/MNX1/HNF4G/HNF1B/HNF1A/FOXA3/PDX1/HNF4A"
"Acute myeloid leukemia","Acute myeloid leukemia","Acute myeloid leukemia",57,0.611476762288501,1.4526817913265,0.00295315681291358,0.00295315681291358,0.0547888303448441,5019,"tags=54%, list=24%, signal=42%","PIM1/CCNA1/RAF1/SOS2/MAP2K1/PPARD/ZBTB16/BRAF/PIK3CD/RPS6KB1/SOS1/KIT/AKT2/MAPK1/RPS6KB2/FLT3/PIK3CA/HRAS/IKBKB/MTOR/RUNX1T1/TCF7L1/AKT3/PIK3R1/PIK3R5/STAT3/STAT5B/MAPK3/NFKB1/MYC/LEF1"
"Starch and sucrose metabolism","Starch and sucrose metabolism","Starch and sucrose metabolism",50,0.621591747623049,1.46936277940425,0.00431027589609277,0.00431027589609277,0.0710817428478457,2006,"tags=18%, list=9%, signal=16%","UGT1A7/GYS2/HK1/PGM2/PYGL/GANC/AGL/GBE1/GYS1"
"Adherens junction","Adherens junction","Adherens junction",73,0.5778530747908,1.38902261351941,0.008611090538022,0.008611090538022,0.117210101858231,4357,"tags=38%, list=20%, signal=31%","NECTIN1/NECTIN4/WASF2/BAIAP2/PARD3/TJP1/AFDN/LMO7/WASF1/CTNND1/FER/WASF3/CREBBP/IQGAP1/MAPK1/SMAD3/PTPRF/EP300/SNAI2/SMAD4/CTNNA1/SMAD2/TCF7L1/MAP3K7/ACTN4/CSNK2A2/PTPN1/MAPK3"
