"","group","A.443654","A.770041","ABT.263","ABT.888","AG.014699","AICAR","AKT.inhibitor.VIII","AMG.706","AP.24534","AS601245","ATRA","AUY922","Axitinib","AZ628","AZD.0530","AZD.2281","AZD6244","AZD6482","AZD7762","AZD8055","BAY.61.3606","Bexarotene","BI.2536","BIBW2992","Bicalutamide","BI.D1870","BIRB.0796","Bleomycin","BMS.509744","BMS.536924","BMS.708163","BMS.754807","Bortezomib","Bosutinib","Bryostatin.1","BX.795","Camptothecin","CCT007093","CCT018159","CEP.701","CGP.082996","CGP.60474","CHIR.99021","CI.1040","Cisplatin","CMK","Cyclopamine","Cytarabine","Dasatinib","DMOG","Docetaxel","Doxorubicin","EHT.1864","Elesclomol","Embelin","Epothilone.B","Erlotinib","Etoposide","FH535","FTI.277","GDC.0449","GDC0941","Gefitinib","Gemcitabine","GNF.2","GSK269962A","GSK.650394","GW.441756","GW843682X","Imatinib","IPA.3","JNJ.26854165","JNK.9L","JNK.Inhibitor.VIII","JW.7.52.1","KIN001.135","KU.55933","Lapatinib","Lenalidomide","LFM.A13","Metformin","Methotrexate","MG.132","Midostaurin","Mitomycin.C","MK.2206","MS.275","Nilotinib","NSC.87877","NU.7441","Nutlin.3a","NVP.BEZ235","NVP.TAE684","Obatoclax.Mesylate","OSI.906","PAC.1","Paclitaxel","Parthenolide","Pazopanib","PD.0325901","PD.0332991","PD.173074","PF.02341066","PF.4708671","PF.562271","PHA.665752","PLX4720","Pyrimethamine","QS11","Rapamycin","RDEA119","RO.3306","Roscovitine","Salubrinal","SB.216763","SB590885","Shikonin","SL.0101.1","Sorafenib","S.Trityl.L.cysteine","Sunitinib","Temsirolimus","Thapsigargin","Tipifarnib","TW.37","Vinblastine","Vinorelbine","Vorinostat","VX.680","VX.702","WH.4.023","WO2009093972","WZ.1.84","X17.AAG","X681640","XMD8.85","Z.LLNle.CHO","ZM.447439"
"TCGA-3M-AB46-01A","Low",-0.646510555558669,3.79015556474,2.80512479625626,5.35879744259488,4.27328774066609,8.23297629472304,3.32991636945291,4.32532141390976,1.81655991969797,3.75672944977892,4.59398494559409,-1.88780434282477,3.46903196132621,4.19355798979609,4.27018943331304,4.95744223603287,3.71859166467603,3.96736741715858,0.51804641669141,0.391043454927455,3.59451932097083,5.40096073901944,-1.58836540491613,1.92218362570381,4.61491368438638,2.50237284037196,5.84340939958354,1.62063457330422,3.96244282003196,3.08950456587708,5.09789611134619,1.32946997412104,-5.79749986070961,3.39065709910056,-1.1539598605336,2.40424682921515,-4.55797769345878,5.61857308602768,3.60631531615817,0.505321522216157,4.11588299400899,-1.6375282826991,4.99399490903163,2.89807827237976,2.59602080889481,3.66643401364918,6.48799437436448,0.256627318656512,2.00529223706503,7.28125019397685,-5.6677080711635,-1.88003634093194,4.99788469887388,-2.69435379022918,3.20656612250034,-4.45927334761844,4.74845010950588,0.789745230737244,2.51310637180754,4.16619515739424,5.5187252570124,2.2177939076933,1.61282007457932,-2.18087717716826,4.6337449163681,3.71742733749338,4.63438681931715,4.23159586796583,-2.63698302485848,5.06386448859365,6.25198022883776,2.97488880808298,-0.036355173747602,5.71915489246607,-1.65664185853985,6.06271679203827,5.17721044989925,4.22700196275918,5.2210001375792,6.25489829841749,10.3884023825703,1.2344073665992,1.66959994860141,1.09974165265084,-1.30129864292404,2.72573466228062,0.858739907291505,4.50704833639721,6.74461449334856,3.70612069940681,5.024627448115,-2.364981058747,1.39275188467323,-0.828805207585409,3.88393510127367,3.5367755377973,-3.2433751429664,4.69532899271557,4.86440190614533,0.901698069969514,3.33699006165702,4.37964911350117,4.52883557122897,4.89680498209187,2.97446505978333,4.96215787473097,5.28495549569898,4.67051137997638,3.84119002114084,-0.194362363433346,3.13944565550424,4.62249145234351,4.87543479221935,4.59156069083982,5.85189451474628,5.02790046063538,0.140509709388379,5.63631419511216,3.97218382474393,1.56194881845548,3.06869950006808,-0.764897701572112,-4.14937362148834,2.46919491672241,-0.393856161450464,-4.31633404638395,-3.75212377098303,1.28873762347073,2.58357535718339,4.4442670609041,4.23259122744081,3.76789095815799,5.16417102830659,-0.454964088116702,2.43328515175173,3.73937143462006,2.80763336466273,3.17327999001369
"TCGA-B7-5816-01A","High",-0.688105873370181,2.40597546401632,3.49497574702586,5.5195933188053,3.58843675193506,8.40358034343434,3.29257894082823,4.13981839885036,1.50624653819818,3.02437147590867,5.65337224956717,-3.26723766142295,3.08211678606607,1.92072924382052,3.08428625170052,4.69045629430686,2.92436584205376,2.93633543001977,-0.956952421198551,0.376567005271113,2.06885811314986,4.00371996541404,-1.75285668724445,2.50278555062901,4.20758466440708,2.60658225132664,5.95852789527752,0.803574783417144,3.20970141511553,1.50212423461849,4.83642167575804,0.943506002475404,-6.84581958822388,2.8119112912766,-1.40751066810602,1.27385200898221,-4.23889048373826,5.65483848134025,3.06563818765509,-0.752621888824403,3.94451325022296,-2.60460324952424,4.5551167967665,2.41400282699097,3.03158830944751,3.4888769017782,6.39706145250241,0.27315455338016,-0.561881788347545,6.08010194837584,-6.31765712361268,-1.97273446171738,4.7227966928978,-4.13775156813941,2.85574887216527,-5.33728482211571,4.06723215662717,1.24213324491517,2.09178820885961,3.51272870770374,5.61893190394905,2.054986422388,2.05437298400323,-2.62943039679219,4.24349132919286,3.35035026724186,4.14884895038146,4.31101208179411,-2.94969858328568,4.91220724473109,6.01808783618827,2.12621276658909,-0.458325750635341,5.85218152013288,-2.54750359429394,5.91193261983715,4.45670797316709,4.00897094182929,5.60384295506543,5.93645672107082,10.231540081093,1.53597843292121,0.884625408073376,0.283928669063504,-1.06623909803371,2.7905014032203,0.373661877101946,4.20324506786384,6.62441117448552,2.99657987183221,4.63040092750192,-2.91577476382863,0.0816786154566529,-1.0715311830696,4.2658191091185,4.10407529516358,-3.94229246672242,3.90463421044758,3.95687663766446,0.0299244853751315,2.65915022195829,3.97300260715702,4.04639532839441,4.9647334231192,2.62743635308946,4.87463514036638,4.8428740168177,4.41096172315685,3.93096965038022,-0.764182096401161,1.53196146937216,4.35604145313112,4.71462369483516,3.94835655939069,5.18943021439271,5.1280771448627,0.338727614258017,5.51421368462262,3.80180752899312,0.902030251556942,2.64521519668461,-1.34530351852718,-4.42163503803976,1.99839501914622,-1.40539233732075,-4.77224242994614,-3.77835938097461,1.72826769201639,2.6421626535668,4.5722664407297,2.22591988818363,1.96314030060824,4.42072596013155,-1.81306149583945,2.53494492897906,2.81253787479129,2.06964382227246,1.98464551830542
"TCGA-B7-5818-01A","Low",-0.680450909184968,3.61507448040398,3.59405652167347,5.37836815090965,4.84577469354232,8.15422419411998,3.52759239680785,4.21982504519428,1.63594277480485,3.05838891732109,5.54277179541736,-3.13819561770416,3.52206881136608,2.92756953047882,3.93947218400144,5.16898770231355,2.85173962019672,3.92402845182806,-0.753268802207911,0.355666198928729,2.32657430998829,4.28567273280025,-1.71764739128326,1.55670507999578,4.41673842111839,2.56342106672231,5.9368004154711,1.26753331311846,3.41728571233386,2.06882107324723,5.05809185441248,1.21031977606148,-6.15427963022893,2.56365623719551,-1.16546971358658,2.25368056948532,-4.36694153216373,5.68700667499529,3.05116218252433,-1.19843358218886,3.94808632958827,-2.14144349890377,4.70548109364013,2.49404821138911,3.14497435785511,3.57860344048205,6.36752511217324,0.228894700374184,1.79192344924306,6.87778468017638,-6.09239698945383,-1.86459272654726,4.62534237682992,-3.2312097190808,2.98392511484295,-5.37697997414033,4.19556721914209,1.0899002383103,1.66795395273375,3.69462651406185,5.88911092468302,2.21577768064351,1.65319384249634,-2.55547474109468,4.38423160898762,3.58540428352812,3.76560512681711,4.36145387169428,-2.65228581064304,5.10185106912461,5.62732492514565,2.51395222257543,-0.413572820405534,5.82773136807878,-2.30248338946898,6.00329882628406,4.75538577201752,4.19071801463681,5.63711494119651,6.17230609135818,9.80892922056743,0.688031369403104,0.873465578031846,0.625587193923413,-1.70146419070409,2.70170210423095,0.497941444985027,4.43436431759033,6.59767357002741,3.28205015056352,5.0005748286554,-2.54855032708821,1.17220068789459,-1.10291027606853,4.30239387521527,3.92180589527094,-3.41542020109184,4.12129185006299,4.52604078983761,-0.256160174981854,2.05428218872249,4.06788637525291,4.1709562321712,4.9262076115773,2.69980712282155,4.92706102477662,5.1174313240784,4.30228137912938,3.83221248965134,-1.34658408022966,1.60182984357625,4.29652754331513,4.69918453975677,3.53448939646898,5.65804799441026,4.96105398733718,0.0362018869459035,5.32165751164301,3.7237268390307,1.18738069436053,3.24730261436118,-1.81439879138786,-4.16734777365093,1.90526141631663,-1.0063342145957,-4.89227138577471,-3.97907455530359,1.13109566325953,2.63276221594593,4.66577574203137,3.84616481388952,3.12575392620685,4.98973753128192,-1.10273653687354,2.46088183107385,3.04022390476315,2.31811437670688,2.43687482146204
"TCGA-B7-A5TI-01A","High",-0.637332199321815,3.538946787834,3.60490320201437,5.510901776594,3.95958769842846,8.96852665072731,3.31019329941818,4.20446016432192,1.69029149964506,3.23158688747224,5.47903070858923,-2.67660188328528,3.43862866272724,2.76375370223023,3.8221871098882,5.09456552944235,3.28423865505674,3.15139675545059,-0.0528069904022992,0.394063479079723,2.78541918551779,4.48038628436978,-1.63875468165677,2.07092711002308,4.37097853932656,2.63722461995407,5.91518747342279,1.82271732529445,3.44587036938939,1.94707540208077,4.96967065850722,0.804196538181208,-6.10701808852123,3.06936056192849,-1.3555360616832,2.37081549515447,-3.54057726687587,5.62599624789436,3.67068299058748,-0.533627571771125,4.05798148866496,-1.52745934343667,4.67018951389295,2.59011615283293,3.89956498695006,3.61569820858333,6.41159249828802,0.161591761362101,2.02465131563357,7.20800057365587,-5.53061870838305,-1.86022570589447,4.59213025745865,-3.20540832853857,2.79531158649066,-5.14992470418841,4.0403456364239,1.90404814592802,1.8594470883421,3.53333630067784,5.7529575908955,2.25259713016018,2.29297068325551,-2.37702796715759,4.49272013404063,3.58456211678216,4.36236301458931,4.3089119266651,-2.49963916874502,4.98455088115569,6.02302294247922,2.74271830209018,-0.161723781579997,5.97839917627162,-2.11114954803908,5.97094855544258,5.29708577651221,3.90484351048886,5.53514435817427,6.23423179594908,10.3241740344942,0.753027730445867,0.836246407437339,0.359487261822276,-0.676524000372298,2.81518998568526,0.714656683979318,4.22885921115266,6.73480323343948,3.54721582755829,3.9951646833218,-2.37913418620988,1.61964287741795,-1.02666119717099,3.32664206957312,3.47361157846449,-3.02061791116869,4.35318188051824,4.33967401341279,0.379317599230559,2.46471998866212,4.24517956452619,4.39301367694107,4.88926573107382,2.76209818434967,4.78046668964379,4.99608422202696,4.5498904743515,3.84718257117718,-0.676758000634901,2.41718517789314,4.92450796300912,4.79113668556079,3.81703492705064,5.57634943372474,5.21474131621835,0.0291052249628798,5.84408012747679,3.75294547187564,1.48439615333978,3.61529142081801,-0.989773739299327,-4.27059256754314,2.10214661721163,-0.763115695756378,-4.2270972379362,-4.150016584986,1.49059780921872,2.65236553012621,4.57828985608655,3.73683830180162,3.0966516873492,5.30305364350524,-1.3874477693354,2.538952353851,3.15469547768879,2.57508297764058,2.56969585533634
"TCGA-B7-A5TJ-01A","Low",-0.605116237089311,3.98600376468381,3.28676836020295,5.40741918272533,4.87895858740319,7.78718276762776,3.58769681127107,4.36561295637721,1.82712750858791,3.24834860836539,5.64954180689746,-1.81761707111891,3.88123375037181,1.52024210826145,4.0337630215478,5.61721276738099,2.47725425266075,4.56794595369889,0.434386190916767,0.521409178870047,3.0356413176119,5.0187686641856,-1.59338962273842,1.75138961279993,4.47455318292853,2.71909455610942,5.89347593237464,2.73642323942847,3.67657646919175,2.24640630982378,5.04943280477313,1.08186098911474,-4.91127121531017,3.31603267616253,-1.18441991097678,4.00801954145132,-3.1796271273744,5.6341303225374,3.70608254501756,0.901924983882108,4.09271376937969,-1.42553479074681,4.39365272963307,2.55699408560494,3.78371850086078,3.79342435873336,6.53245280768206,0.937469915229963,2.68307830275024,7.95542245770894,-5.01924432419764,-1.58193606023776,4.70776563631625,-2.0101936251608,3.50093002110448,-4.35968114397027,4.56083071823678,3.57296165199933,2.18912294155098,3.75175774236739,5.69979541627975,2.40924348631553,1.9719797416194,-2.04988071305358,4.55565111951433,3.80385817611371,4.40790525537817,4.29198713820007,-1.58391772332525,4.95549782543651,6.5965327385848,3.4082068095616,-0.0879293471351716,6.09469289590452,-1.61527990565619,6.04057367021962,5.53279226164751,4.1730748211475,5.48552203540698,6.27446248077673,10.633330251556,0.847243248965373,1.90104239802438,1.15395812129206,-0.19736576805408,3.00298736141451,0.906658128228467,4.27400635054945,6.64926978559848,3.9852994349332,4.80334939868996,-1.67630844796284,1.18802477906894,-0.857190427474059,3.4997609998112,3.744385425908,-2.26885050429889,5.08418380458346,4.85886050162873,-0.737792247841357,2.33789238788244,4.54950208489327,4.43537002207719,5.01747056923733,2.74812961975957,4.79298350174038,5.21453241661674,4.16647029656884,3.85166647278523,0.146116512202157,1.14662374066848,5.19438982370942,4.83985649404273,4.18655814930577,5.66290359706863,5.08619187355391,0.716657479630689,5.54973420024453,3.74210625954561,1.93029269578188,3.83676313152502,-0.0668062316783811,-4.03134158351966,2.20490856249492,0.48642691702449,-3.66055738170723,-3.1200668383937,1.54964855512087,2.65906547493472,4.68470171234695,4.42720836345198,3.91545275416359,5.44676850661778,-1.17742142299054,2.54903945610242,3.09423524037122,2.82609713263719,3.5124367671254
"TCGA-B7-A5TK-01A","High",-0.608465155752596,3.03524485116283,2.35629560153443,5.4351819792402,3.74412500726427,7.88006790277025,3.47817381910053,4.10468119101167,1.49304213144271,3.4387705362971,5.22084711145408,-3.53747878846801,3.67755837953472,2.7519847816985,3.42577985285313,4.34388616831048,1.8546373068698,3.01783757648158,-0.549038354261766,0.298721338299293,2.20880011894634,4.69452348804459,-1.60275175746599,2.26954967011426,4.47419633874607,2.4896887554577,5.93148191289562,0.571433847040927,3.37573853432742,2.08113393534356,4.59967756650389,0.941826530129308,-6.37021071120373,2.52781143414445,-1.17102248914162,1.38138975477539,-4.66895360074189,5.60201300885675,2.87969696270464,-0.501917676406649,4.05420679673436,-2.27790527861819,4.94320173100632,2.30621677095807,2.93048538712495,3.50184158764816,6.42665694385562,1.20057837485574,0.445727200291355,5.87143765779133,-5.63276086323554,-2.17367202762949,4.90202198210948,-3.17213327691626,2.8322017635541,-5.27463478131014,4.20699985787125,1.15055324306791,2.47737325222024,3.54665310399622,5.51331715039752,1.96781871912444,1.2665918251024,-2.86717607990122,4.57619025398049,3.49240037161306,4.17339396322978,4.40053114112422,-2.65760034879926,5.0552254981479,5.27149172622749,2.21550088799655,-0.138261265738691,5.60288029481782,-1.8283654353885,6.06207455036805,4.65342303598373,4.05884680629462,5.41085155198463,5.99852356915682,10.5655759515006,0.382253249842694,0.820643188085758,0.677557230934603,-1.45009036564022,2.80306696912271,0.669140715766464,4.36767068821594,6.71136181100719,3.14641931452914,3.83250627097696,-3.2368417321952,0.689662227275349,-1.18192714842669,3.80423365459821,3.12989637341952,-3.63360574907238,4.30763937021502,4.41933582200691,-1.00371139144625,1.8100241846901,4.02083631464211,4.17227422497708,4.95307323953183,2.67925111616884,5.03986474532593,4.37075943882159,4.77982190431523,3.83280341158356,-0.370824440122792,0.81929234242853,4.38763112717762,4.83688756040788,4.48689074643161,5.26998661089573,4.60467608633366,-0.0995754649763345,5.45517015929347,3.99897224380184,1.47222889842575,2.63774783208542,-2.57651449887942,-4.36666998078167,2.17110137304684,-1.19372822711557,-4.5466139939376,-3.80056838222309,1.21203621362521,2.64058778623541,4.39425943888492,3.16003078242469,2.29811647458573,4.47323594305116,-0.872426046430331,2.37890549368643,3.02035160853203,2.07780257551703,2.02517441054376
"TCGA-B7-A5TN-01A","High",-0.641488376982615,3.25374454768206,3.64588806533055,5.57871952120739,3.94076047056742,8.29519966591324,3.28010646128454,4.24325636606162,1.61346056481536,2.80866376534813,5.56285210402452,-3.01548892408546,3.5195080392146,2.77134589539568,3.6105130651101,5.1413485700801,2.95347179178372,2.94711933567992,0.0232107380480535,0.417916869436007,2.73071244475744,4.49933477840494,-1.6841551156128,2.07467641301776,4.3249969126659,2.69564375828001,5.91765205078226,1.51702705888104,3.3527593238129,1.85241177988349,4.95400524814417,0.183702277441977,-6.12518568826116,3.2932772579983,-1.43522966594358,2.32753250679349,-3.99750480428955,5.55394811580198,3.69431591509916,0.115069272905468,4.05521253083323,-2.02696353273007,4.47751623259144,2.60122589424628,3.55141582359081,3.58782422932068,6.53744596283893,0.824884909674852,0.82069359664662,7.00862478880911,-5.88819880266173,-1.91725400901384,4.73685318039445,-2.98603441451946,2.84432259207275,-5.48247997969098,4.33484622065664,1.67765910295877,1.97049914073269,3.4811990940169,5.7001040909056,2.14556817638229,2.15518416576595,-2.35571162680359,4.38323411860499,3.52926696828627,4.05566261744469,4.36882873216693,-2.57906830329621,4.98798495113159,6.10361732715243,2.79394406277869,-0.350513875691486,5.94116305898587,-2.1878344391421,5.96416069299793,5.17679279437757,3.89944659787711,5.58872232618277,5.96225922671204,10.5415037066631,1.58405406451764,0.875475782581953,0.374591362481038,-0.644623640583932,2.82003749683825,1.15194546985067,4.23211937351368,6.70165297141007,3.58879795769306,4.78078206499975,-2.54730683727064,0.903119894242664,-0.968334691318113,3.05621710729253,3.5292757458532,-3.45605313300663,4.62435688329226,4.1753329804075,0.148676430007749,2.64740371938537,4.44296961834629,4.30089872823926,4.95024692580196,2.61387305879841,4.76218216487223,5.0188373664519,4.69916065390431,3.87500737256128,-0.208199671724813,1.95712182396558,4.7332836370999,4.79462919112481,3.99287969953038,5.52467259991326,5.26552575958071,-0.0668423484457463,5.79418276541047,3.91913880452993,1.40099821944292,3.52683282897887,-0.643127993895176,-4.33530856505277,2.08959202301241,-0.808335828064926,-4.41755544044161,-4.10750727385306,1.41568201362669,2.67547133669132,4.52265494511277,3.52244434147678,2.5369101803478,4.90307113094625,-1.64724599712264,2.58091465481717,3.04601076844022,2.4919967910526,2.91810194348837
"TCGA-BR-4187-01A","High",-0.446012473091785,3.42704720087796,2.19068471030029,5.62782129163922,3.53918673119666,8.26368402602023,3.50400630516101,3.86536197651325,1.41142798641972,3.41153896014416,5.31272179153048,-2.42218556169106,3.2936138722093,3.05024773041439,3.7191844459154,4.4528635640484,3.0362977265982,2.9740952449228,0.0914628455609172,0.308393136327444,2.74917722858251,4.64153800423747,-1.37189409122655,2.74739384606028,4.52669305348827,2.59028396453287,5.98351679523646,2.5294826501718,3.80907067793149,2.42245756178861,4.61946596309244,0.95663479772794,-5.59424591356407,3.6485063975607,-1.18323656942073,1.3263178077696,-3.628899177962,5.4801322920406,4.04499007211967,0.143261243828908,4.19046923123095,-1.4465874895214,4.84177341666606,2.40390758784103,3.09653251981229,3.66783970724083,6.59704423796991,1.37096118491003,1.12327397133875,5.82115880047787,-4.85342738318086,-1.82864449931487,4.55147927010114,-2.64475471205326,3.26302503044946,-3.63083293307917,4.27278541223339,2.86087553378424,2.67824019744904,3.85919579954469,5.68188498215559,1.92386409524072,1.77660594558385,-2.41279255423134,4.45934731662269,3.32608146851388,5.01467274390754,4.42498240492599,-1.15072445486547,4.84626322101734,6.12460330108073,2.34623089146603,-0.00185987238618512,5.81533506520892,-0.677147056454061,5.98912396758338,5.00848912461638,4.0935603240549,5.51655488793291,6.00642336347818,10.5757777781171,1.14574993864917,0.715035253546278,0.2894943194834,-0.458739710285034,2.76673293053485,1.10566454841696,4.07248265589184,6.81642474788125,3.09638727012319,3.89515999775835,-2.69511300403839,1.51037282731424,-0.930258115567394,3.67646516256825,4.03047670884634,-1.69104551741902,5.10306801156949,3.94945726767879,0.374649178777027,1.80278570798411,4.08090826310944,4.2202275373697,4.95808118530807,2.76052478252645,4.91445972771119,4.80594070547049,5.41705277736284,3.94026539895882,0.929076164576898,2.07736231062229,5.07065398369443,4.90977851123495,5.03554228754773,5.18616253233371,5.32449032294134,0.520709268388863,5.70094195390266,4.0455519965182,2.72609558606768,3.24624488077762,-1.75406282519217,-4.13507186567461,2.44252885267277,-0.428520961726051,-3.64026688577696,-2.55755752939766,1.6473380988448,2.71588605487719,4.14060553650199,3.72580649827461,2.05162012648085,5.34642671262697,0.164288783835413,2.46744387619556,3.21537966841222,2.45269950368157,2.82894870316063
"TCGA-BR-4191-01A","High",-0.572231637510846,4.22240014459471,2.66855884774376,5.42607442858588,4.420616382305,8.33813703368356,3.4973226041551,4.2581345835619,1.59327149788038,3.59935866289201,4.97117107804315,-2.38196369441828,3.52288338750041,3.69899597301957,4.66238140904407,4.87473900343799,3.02852497174082,3.09768176318143,0.355336322590668,0.316125373349131,2.71596786607337,4.89561349982827,-1.49324047695049,2.34486947569761,4.53200194617819,2.55457557319167,5.91203626621227,1.61984382139605,4.00045544906925,2.8499085660327,4.81903183328587,2.09030721162206,-5.53890597025983,3.1134776059754,-1.07868981069621,2.18836139309034,-4.10345214334654,5.60002463954582,3.60310669282451,0.141771915998902,4.09155606386234,-1.74565116798938,5.14055654494933,2.45841497026301,3.48887629953207,3.64920242047817,6.53500533902572,1.17251206886336,2.65321352208823,6.659538694738,-4.83160612349494,-1.92377335045648,4.64386066727511,-2.60927344700467,3.05446111698475,-4.54258003092802,4.54240373330005,1.82733890031876,2.37329985350782,3.72183923061106,5.79899479874813,2.10632530903128,1.94120430660334,-2.61584657954322,4.60911011865416,3.7441783099372,4.60827519565995,4.31985107554061,-2.11751397539075,5.09548282176054,5.82123156716551,2.82089245038818,-0.159382418839118,5.7166233209011,-1.83286921035556,6.15794473078612,5.18399710123972,4.45696750919696,5.45425683733596,6.21541992630128,10.5313170745862,1.01505344611293,1.04204072619969,0.517014033988064,-1.37191267878241,2.62724740921319,0.819487422458075,4.17683231569675,6.75180160668384,3.51087529752206,4.05861863066212,-2.34732921600243,2.64250373479989,-1.1164813668322,4.2451959341747,3.66129219214544,-2.86205026385538,4.94784597772289,4.51242991122664,0.0554998887345004,2.61989175511092,4.07331213148635,4.41218187872305,4.87740447278728,2.8488806317661,5.10448306475304,4.86786584518678,4.67499425824504,3.82968774141258,-0.225546923003639,2.66731007399712,4.70480452060287,4.81139478024418,4.00778901123853,5.47001770656256,4.95064166520429,0.312607326302921,5.61442919363374,3.79906081682174,1.96037025699935,3.02164321742256,-1.60652632123826,-4.05413046304374,2.15080551109144,-0.774275948460919,-3.66057594512249,-3.50971118441482,1.56432566006854,2.68578119796063,4.11204540484907,4.54622174119917,2.86789078486864,5.98431433296621,-0.834040542085715,2.40053132125621,3.14061973584089,2.15729570418956,2.82042345202674
"TCGA-BR-4201-01A","High",-0.540983404699201,3.94553186336249,2.68006558221108,5.50165832998641,3.51311395601369,7.7789741342797,3.42611474321258,4.16747667971699,1.49738977127717,3.34201826344966,5.11114189721447,-3.03621682071375,3.21168108150103,3.21044850444605,4.17846362698574,4.34460356660074,3.06663613287422,3.17861183974716,-0.190186755363685,0.255797524336821,1.9618811091936,4.72216648803432,-1.48495454642478,2.15206713019008,4.47552547757799,2.46541762677348,5.87811248489761,-0.0258330775968112,3.73858566517533,3.0869614413307,4.70233192139962,1.25151724218255,-5.29905195681576,2.54955319972568,-1.16422830407839,1.59403715935224,-4.60737541375122,5.58171078230694,2.79505374804969,-0.361962517960461,4.14600586902525,-1.54505491016243,4.85500539411774,2.44969788152754,2.68607826548034,3.61033606254321,6.60844791455696,0.502812713852167,2.06870375858632,6.58851016779737,-5.63998985474858,-2.27652143617235,4.78083112580434,-3.08785886470804,2.59428676488863,-5.03952547057457,4.77391056760957,1.00430777015445,2.09905425557242,3.49609613550817,5.54004630698839,1.97238539254802,1.8793938007049,-2.93493504272918,4.71738161420054,3.57628740607224,4.12068721021631,4.32031182739629,-1.92925292526839,5.07521773850855,5.30464926682152,2.60642389586798,-0.249270201678402,5.780630590609,-1.08568174831588,6.12764808778593,4.80436934427254,4.45875010852232,5.39665805864621,6.15355285115418,10.8411260514163,0.728170283730408,1.34431574111569,-0.0269622734342301,-1.06257900741135,2.69587325103147,1.13522472961555,4.04289249599286,6.7201939792889,3.23001829218031,3.96872046987564,-3.0260935060008,2.085577612265,-1.27898011690024,3.98671725542809,3.15155515582973,-2.63951443442552,4.79546818072011,4.17743629556726,0.157544049253826,2.39991749664744,3.94741623397844,4.45058015028564,4.88870969588689,2.60955880312245,5.08273652798301,4.39438698597097,4.76705998846669,3.67828429466377,0.493315903137983,1.78198742160369,4.85456209859073,4.91878406069743,5.00026508353275,5.2105983214287,4.92008293437202,0.045911970692698,5.60352706400404,3.94560857560335,2.04332500218793,3.50344273990895,-1.60552938547478,-4.62600090844655,2.2053875104574,-0.955095066333765,-4.37144914299821,-4.05182284864186,1.23723847746057,2.66613506043275,4.17535471732979,4.32098730421692,2.53204908576109,5.73614960542238,-1.71670056731602,2.33734858577212,3.40332913858756,2.58988695661714,2.59708770156015
