category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Organismal Systems	Immune system	hsa04062	Chemokine signaling pathway	9/66	193/8541	0.0466321243523316	6.03462081959491	6.24288379993865	1.55124287709582e-05	0.00282326203631439	0.00228604213466752	CXCL9/CCR8/CXCL10/CXCL11/TIAM1/GNG7/NFKB1/STAT3/GSK3B	9
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	7/66	216/8541	0.0324074074074074	4.19381313131313	4.19541866803169	0.00131780170588289	0.0450968724903694	0.0365156862270198	OLR1/CD36/NFKB1/STAT3/GSK3B/CASP6/NLRP3	7
Environmental Information Processing	Signal transduction	hsa04151	PI3K-Akt signaling pathway	7/66	362/8541	0.0193370165745856	2.50238573581115	2.57760688102427	0.0210798857324147	0.147989419379566	0.119829489376167	PCK2/GHR/GNG7/TNXB/THBS2/NFKB1/GSK3B	7
Environmental Information Processing	Signaling molecules and interaction	hsa04080	Neuroactive ligand-receptor interaction	7/66	370/8541	0.0189189189189189	2.4482800982801	2.51331468786408	0.0234399788241294	0.147989419379566	0.119829489376167	PNOC/GHR/GRIK3/P2RY1/ADRB2/ADCYAP1R1/P2RX7	7
Organismal Systems	Immune system	hsa04621	NOD-like receptor signaling pathway	6/66	189/8541	0.0317460317460317	4.10822510822511	3.8131085896847	0.00327559315938717	0.074519744376058	0.0603398739887109	NFKB1/GSDMD/NLRP3/P2RX7/NOD2/NOD1	6
Human Diseases	Infectious disease: viral	hsa05167	Kaposi sarcoma-associated herpesvirus infection	6/66	196/8541	0.0306122448979592	3.96150278293135	3.70133215330737	0.00391818955929183	0.0792344999767903	0.0641574898597493	CCR8/GNG7/NFKB1/STAT3/GSK3B/MICA	6
Organismal Systems	Immune system	hsa04623	Cytosolic DNA-sensing pathway	5/66	83/8541	0.0602409638554217	7.79572836801752	5.48999901872047	0.000431045033237392	0.0392250980246027	0.0317612129753868	CXCL10/GSDME/NFKB1/GSDMD/NLRP3	5
Organismal Systems	Immune system	hsa04620	Toll-like receptor signaling pathway	5/66	109/8541	0.0458715596330275	5.93619683069224	4.57690047284002	0.00148671008210009	0.0450968724903694	0.0365156862270198	CXCL9/CXCL10/CXCL11/NFKB1/TLR9	5
Human Diseases	Endocrine and metabolic disease	hsa04931	Insulin resistance	5/66	109/8541	0.0458715596330275	5.93619683069224	4.57690047284002	0.00148671008210009	0.0450968724903694	0.0365156862270198	PCK2/CD36/NFKB1/STAT3/GSK3B	5
Cellular Processes	Transport and catabolism	hsa04145	Phagosome	5/66	159/8541	0.0314465408805031	4.06946826758147	3.44761634928983	0.00752848419595546	0.105398778743376	0.0853431406828959	FCGR1A/OLR1/FCGR3A/CD36/THBS2	5
Human Diseases	Infectious disease: bacterial	hsa05152	Tuberculosis	5/66	182/8541	0.0274725274725275	3.55519480519481	3.07477680969988	0.0130278377578272	0.147989419379566	0.119829489376167	FCGR1A/FCGR3A/NFKB1/NOD2/TLR9	5
Human Diseases	Infectious disease: viral	hsa05169	Epstein-Barr virus infection	5/66	204/8541	0.0245098039215686	3.17179144385027	2.77050762943116	0.020383335419927	0.147989419379566	0.119829489376167	CXCL10/GADD45B/FCER2/NFKB1/STAT3	5
NA	NA	hsa04081	Hormone signaling	5/66	219/8541	0.0228310502283105	2.95454545454545	2.58574102610936	0.0267137539271421	0.156835587572253	0.126992378601015	PNOC/GHR/ADRB2/GNG7/STAT3	5
Environmental Information Processing	Signal transduction	hsa04024	cAMP signaling pathway	5/66	226/8541	0.0221238938053097	2.8630329847144	2.5048094122951	0.0300560522251583	0.165642756049363	0.134123689108796	TIAM1/ADRB2/ADCYAP1R1/CFTR/NFKB1	5
